Date,rate_CRM_5D,rate_VOO_20D
2015-01,-4.164,-3.5197
2015-02,17.7006,1.8044
2015-03,9.3234,-0.4337
2015-04,14.6149,0.3137
2015-05,11.8769,1.1277
2015-06,4.9096,-1.1499
2015-07,9.3813,0.7758
2015-08,2.6203,-5.4229
2015-09,2.1997,-7.1738
2015-10,13.5995,1.0672
2015-11,14.9243,1.2476
2015-12,11.7824,-0.572
2016-01,-2.7203,-4.925
2016-02,-2.0729,-4.8231
2016-03,6.5957,1.7982
2016-04,8.8578,1.9719
2016-05,19.5042,3.5419
2016-06,12.448,3.6524
2016-07,15.0182,7.2416
2016-08,11.0626,7.0197
2016-09,-0.4414,6.6568
2016-10,4.8093,4.4599
2016-11,0.1866,8.0958
2016-12,-4.6419,9.9999
2017-01,10.2197,11.4564
2017-02,12.9715,15.2492
2017-03,14.0346,14.8019
2017-04,18.2713,15.441
2017-05,22.4308,16.5118
2017-06,17.5518,16.6668
2017-07,22.5879,18.4843
2017-08,28.1636,18.2445
2017-09,24.5512,20.0845
2017-10,35.573,22.2583
2017-11,37.185,25.3046
2017-12,33.5062,26.2059
2018-01,47.5764,32.449
2018-02,44.6327,26.7739
2018-03,43.425,23.0189
2018-04,47.9884,22.8575
2018-05,56.9043,25.2441
2018-06,64.0024,25.5573
2018-07,63.3492,29.3514
2018-08,80.0766,32.7978
2018-09,85.7291,32.8363
2018-10,58.7116,23.2702
2018-11,63.7363,25.0563
2018-12,55.8252,13.5319
2019-01,71.6345,22.1943
2019-02,83.2388,25.7013
2019-03,75.7737,27.5721
2019-04,81.9564,32.1369
2019-05,65.2676,23.323
2019-06,64.334,31.3236
2019-07,66.1281,32.644
2019-08,66.7449,29.9311
2019-09,57.5359,31.9602
2019-10,64.9811,34.2575
2019-11,70.5511,38.4965
2019-12,69.1226,41.933
2020-01,88.2442,41.1927
2020-02,74.7553,29.1327
2020-03,39.9058,15.0941
2020-04,56.7804,29.6087
2020-05,68.3331,35.3017
2020-06,79.1972,37.2398
2020-07,85.1295,44.6817
2020-08,157.1596,54.038
2020-09,135.0115,47.5315
2020-10,115.3893,43.1102
2020-11,126.0928,57.9789
2020-12,103.2507,63.0361
2021-01,104.6114,60.507
2021-02,95.0384,64.0387
2021-03,89.6457,70.5941
2021-04,104.8341,78.6176
2021-05,110.3984,78.7807
2021-06,114.418,81.7862
2021-07,110.9261,85.165
2021-08,129.7096,89.5209
2021-09,133.2225,79.652
2021-10,155.8848,91.2215
2021-11,141.5283,88.7203
2021-12,114.0483,96.1753
2022-01,94.7355,84.8382
2022-02,75.2527,78.356
2022-03,75.8836,84.1718
2022-04,45.068,67.1269
2022-05,30.3891,69.9248
2022-06,21.8211,50.6444
2022-07,35.4742,63.8565
2022-08,14.6277,56.4409
2022-09,3.5058,41.6257
2022-10,16.903,52.5015
2022-11,6.192,60.3073
2022-12,-12.1007,50.5328
2023-01,11.4791,59.4277
2023-02,8.4391,54.8564
2023-03,32.1315,60.006
2023-04,30.8946,61.9344
2023-05,47.0139,62.0896
2023-06,38.6484,71.9711
2023-07,47.2172,76.904
2023-08,44.5007,73.3179
2023-09,31.9306,64.4308
2023-10,29.3487,60.2637
2023-11,59.9329,74.3036
2023-12,66.4895,81.5558
2024-01,77.1497,83.6948
2024-02,93.8338,92.4418
2024-03,88.447,97.8859
2024-04,67.6924,89.1612
2024-05,45.6167,97.7957
2024-06,59.219,103.9456
2024-07,60.005,105.3805
2024-08,48.174,105.1825
2024-09,60.152,108.7418
2024-10,69.1157,105.866
2024-11,84.5278,111.6911
2024-12,86.8304,104.7706
2025-01,89.4257,105.8612
2025-02,64.4899,102.4101
2025-03,47.7916,92.6645
2025-04,34.1455,73.1455
