Date,rate_GE_5D,rate_VOO_20D
2015-01,-2.781,-3.5197
2015-02,6.8323,1.8044
2015-03,0.354,-0.4337
2015-04,8.5373,0.3137
2015-05,7.4192,1.1277
2015-06,4.1859,-1.1499
2015-07,1.5597,0.7758
2015-08,-3.6637,-5.4229
2015-09,-0.9745,-7.1738
2015-10,13.5578,1.0672
2015-11,16.0863,1.2476
2015-12,19.6484,-0.572
2016-01,10.5335,-4.925
2016-02,10.9332,-4.8231
2016-03,20.0664,1.7982
2016-04,15.0775,1.9719
2016-05,12.4057,3.5419
2016-06,17.2199,3.6524
2016-07,15.0749,7.2416
2016-08,14.6688,7.0197
2016-09,8.9437,6.6568
2016-10,6.6307,4.4599
2016-11,12.4147,8.0958
2016-12,15.7242,9.9999
2017-01,8.4557,11.4564
2017-02,9.2824,15.2492
2017-03,8.8474,14.8019
2017-04,5.5803,15.441
2017-05,-0.25,16.5118
2017-06,-0.9136,16.6668
2017-07,-6.0063,18.4843
2017-08,-9.754,18.2445
2017-09,-10.0245,20.0845
2017-10,-24.7889,22.2583
2017-11,-30.9121,25.3046
2017-12,-32.7781,26.2059
2018-01,-36.9807,32.449
2018-02,-43.5504,26.7739
2018-03,-45.0203,23.0189
2018-04,-41.4728,22.8575
2018-05,-40.4514,25.2441
2018-06,-41.0224,25.5573
2018-07,-39.9731,29.3514
2018-08,-41.9878,32.7978
2018-09,-48.0574,32.8363
2018-10,-52.7956,23.2702
2018-11,-63.6992,25.0563
2018-12,-62.087,13.5319
2019-01,-47.6266,22.1943
2019-02,-43.322,25.7013
2019-03,-44.6321,27.5721
2019-04,-42.7051,32.1369
2019-05,-46.0757,23.323
2019-06,-39.1434,31.3236
2019-07,-38.7673,32.644
2019-08,-50.7396,29.9311
2019-09,-45.6683,31.9602
2019-10,-38.483,34.2575
2019-11,-29.8939,38.4965
2019-12,-30.0144,41.933
2020-01,-21.6418,41.1927
2020-02,-31.2011,29.1327
2020-03,-50.8244,15.0941
2020-04,-57.0248,29.6087
2020-05,-57.5832,35.3017
2020-06,-54.9965,37.2398
2020-07,-59.3465,44.6817
2020-08,-56.7953,54.038
2020-09,-56.7003,47.5315
2020-10,-47.533,43.1102
2020-11,-27.1556,57.9789
2020-12,-22.3394,63.0361
2021-01,-23.1338,60.507
2021-02,-9.5264,64.0387
2021-03,-5.1363,70.5941
2021-04,-5.1931,78.6176
2021-05,1.6299,78.7807
2021-06,-2.666,81.7862
2021-07,-6.3285,85.165
2021-08,-4.5824,89.5209
2021-09,-6.5949,79.652
2021-10,-4.8841,91.2215
2021-11,-13.8051,88.7203
2021-12,-14.0698,96.1753
2022-01,-13.9244,84.8382
2022-02,-12.8767,78.356
2022-03,-16.288,84.1718
2022-04,-31.6597,67.1269
2022-05,-27.8963,69.9248
2022-06,-41.0346,50.6444
2022-07,-31.0376,63.8565
2022-08,-31.1461,56.4409
2022-09,-41.4328,41.6257
2022-10,-26.0772,52.5015
2022-11,-18.0291,60.3073
2022-12,-19.8278,50.5328
2023-01,-1.1419,59.4277
2023-02,4.0107,54.8564
2023-03,17.2595,60.006
2023-04,21.1968,61.9344
2023-05,24.0884,62.0896
2023-06,33.9533,71.9711
2023-07,39.0793,76.904
2023-08,38.978,73.3179
2023-09,33.9694,64.4308
2023-10,25.5157,60.2637
2023-11,40.453,74.3036
2023-12,46.8651,81.5558
2024-01,51.9397,83.6948
2024-02,79.429,92.4418
2024-03,99.9412,97.8859
2024-04,117.8676,89.1612
2024-05,115.3356,97.7957
2024-06,106.3281,103.9456
2024-07,120.2579,105.3805
2024-08,119.0571,105.1825
2024-09,135.7999,108.7418
2024-10,118.5555,105.866
2024-11,120.1555,111.6911
2024-12,97.643,104.7706
2025-01,140.219,105.8612
2025-02,137.3342,102.4101
2025-03,128.9624,92.6645
2025-04,103.9427,73.1455
