Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,-49,5,-55,0.07,-2.2,56.3,0
2022-2024,824,33,791,0.07,12.3,56.3,4
2023-2025,576,56,520,0.07,7.2,34.1,3
