Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2019-2021,-5,51,-57,0.14,,63.6,91.8
2020-2022,-34,5,-39,0.12,-0.7,68.7,54.1
2021-2023,13,16,-3,0.12,-0.0,70.5,134.8
2022-2024,43,16,27,-0.13,1.7,72.6,132.1
2023-2025,81,29,52,0.8,2.9,72.6,184.6
