Date,rate_UNH_5D,rate_VOO_20D
2015-01,-6.9868,-3.5197
2015-02,-0.3226,1.8044
2015-03,3.7951,-0.4337
2015-04,-1.6939,0.3137
2015-05,3.9395,1.1277
2015-06,5.3255,-1.1499
2015-07,3.9557,0.7758
2015-08,-1.5572,-5.4229
2015-09,-0.9022,-7.1738
2015-10,0.1243,1.0672
2015-11,-3.9991,1.2476
2015-12,0.6589,-0.572
2016-01,-1.326,-4.925
2016-02,2.0503,-4.8231
2016-03,10.5618,1.7982
2016-04,12.2327,1.9719
2016-05,13.1559,3.5419
2016-06,19.2707,3.6524
2016-07,19.9691,7.2416
2016-08,13.3164,7.0197
2016-09,16.2636,6.6568
2016-10,16.6766,4.4599
2016-11,30.2406,8.0958
2016-12,30.3455,9.9999
2017-01,30.7899,11.4564
2017-02,32.2055,15.2492
2017-03,30.3919,14.8019
2017-04,37.8087,15.441
2017-05,36.7795,16.5118
2017-06,43.9954,16.6668
2017-07,47.4698,18.4843
2017-08,51.3832,18.2445
2017-09,48.1073,20.0845
2017-10,57.4106,22.2583
2017-11,69.6748,25.3046
2017-12,62.1268,26.2059
2018-01,72.239,32.449
2018-02,56.3456,26.7739
2018-03,47.0398,23.0189
2018-04,60.9575,22.8575
2018-05,62.9295,25.2441
2018-06,64.5137,25.5573
2018-07,68.1895,29.3514
2018-08,76.638,32.7978
2018-09,73.9709,32.8363
2018-10,69.3195,23.2702
2018-11,81.2411,25.0563
2018-12,59.0031,13.5319
2019-01,71.1989,22.1943
2019-02,52.234,25.7013
2019-03,54.8635,27.5721
2019-04,45.0056,32.1369
2019-05,49.5609,23.323
2019-06,50.6186,31.3236
2019-07,52.657,32.644
2019-08,42.6988,29.9311
2019-09,32.4848,31.9602
2019-10,53.3477,34.2575
2019-11,68.8141,38.4965
2019-12,76.71,41.933
2020-01,62.7501,41.1927
2020-02,51.1995,29.1327
2020-03,36.1345,15.0941
2020-04,59.1059,29.6087
2020-05,64.9401,35.3017
2020-06,59.3284,37.2398
2020-07,62.631,44.6817
2020-08,66.8838,54.038
2020-09,66.1851,47.5315
2020-10,61.7327,43.1102
2020-11,77.0801,57.9789
2020-12,84.1191,63.0361
2021-01,74.0704,60.507
2021-02,72.3876,64.0387
2021-03,92.6133,70.5941
2021-04,105.1494,78.6176
2021-05,110.4673,78.7807
2021-06,104.0052,81.7862
2021-07,108.6378,85.165
2021-08,109.3016,89.5209
2021-09,95.9969,79.652
2021-10,129.4422,91.2215
2021-11,119.8747,88.7203
2021-12,147.6484,96.1753
2022-01,131.4654,84.8382
2022-02,131.5608,78.356
2022-03,147.2376,84.1718
2022-04,144.8885,67.1269
2022-05,137.6679,69.9248
2022-06,140.8056,50.6444
2022-07,152.6215,63.8565
2022-08,140.3496,56.4409
2022-09,133.0442,41.6257
2022-10,154.5126,52.5015
2022-11,149.5521,60.3073
2022-12,140.8086,50.5328
2023-01,125.4527,59.4277
2023-02,113.7508,54.8564
2023-03,111.8742,60.006
2023-04,119.4036,61.9344
2023-05,116.0899,62.0896
2023-06,112.9083,71.9711
2023-07,123.1406,76.904
2023-08,108.9327,73.3179
2023-09,120.763,64.4308
2023-10,129.7428,60.2637
2023-11,131.5498,74.3036
2023-12,120.3401,81.5558
2024-01,113.0826,83.6948
2024-02,104.5469,92.4418
2024-03,104.8682,97.8859
2024-04,99.4127,89.1612
2024-05,103.3217,97.7957
2024-06,108.944,103.9456
2024-07,135.3311,105.3805
2024-08,133.3621,105.1825
2024-09,127.0844,108.7418
2024-10,117.5718,105.866
2024-11,125.8895,111.6911
2024-12,87.1552,104.7706
2025-01,99.9224,105.8612
2025-02,74.3314,102.4101
2025-03,92.3427,92.6645
2025-04,91.9474,73.1455
