Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-7,15,-22,0.97,-0.3,70.8,0.0
2017-2019,27,22,5,0.78,0.1,70.8,0.0
2018-2020,149,24,125,0.97,1.6,79.2,0.0
2019-2021,107,47,60,1.05,57.6,79.2,0.0
2020-2022,74,-1,75,1.06,94.3,81.1,0.0
2021-2023,-144,1,-145,1.11,-172.8,81.1,0.0
2022-2024,-91,21,-112,0.98,-68.2,81.1,0.0
2023-2025,-73,66,-138,0.81,-52.2,77.9,0.0
