Date,rate_COST_5D,rate_VOO_20D
2015-01,-0.4365,-3.5197
2015-02,5.1087,1.8044
2015-03,5.8991,-0.4337
2015-04,0.2616,0.3137
2015-05,-0.7107,1.1277
2015-06,-5.7027,-1.1499
2015-07,1.5937,0.7758
2015-08,-2.0159,-5.4229
2015-09,1.189,-7.1738
2015-10,10.4837,1.0672
2015-11,12.0786,1.2476
2015-12,10.9213,-0.572
2016-01,3.5637,-4.925
2016-02,2.7806,-4.8231
2016-03,7.7112,1.7982
2016-04,1.0988,1.9719
2016-05,1.3848,3.5419
2016-06,6.7721,3.6524
2016-07,13.0877,7.2416
2016-08,9.4445,7.0197
2016-09,3.0347,6.6568
2016-10,-0.2034,4.4599
2016-11,1.6271,8.0958
2016-12,8.2391,9.9999
2017-01,10.4087,11.4564
2017-02,18.9467,15.2492
2017-03,11.9025,14.8019
2017-04,18.0307,15.441
2017-05,24.4999,16.5118
2017-06,9.6772,16.6668
2017-07,8.5856,18.4843
2017-08,7.421,18.2445
2017-09,12.3193,20.0845
2017-10,9.7499,22.2583
2017-11,25.6325,25.3046
2017-12,26.0584,26.2059
2018-01,31.1247,32.449
2018-02,28.0515,26.7739
2018-03,25.7175,23.0189
2018-04,30.8881,22.8575
2018-05,31.2411,25.2441
2018-06,37.4957,25.5573
2018-07,42.8966,29.3514
2018-08,51.5898,32.7978
2018-09,51.4928,32.8363
2018-10,46.4366,23.2702
2018-11,47.4805,25.0563
2018-12,29.0512,13.5319
2019-01,35.3606,22.1943
2019-02,37.6522,25.7013
2019-03,51.5562,27.5721
2019-04,52.6658,32.1369
2019-05,48.3911,23.323
2019-06,62.5794,31.3236
2019-07,68.3132,32.644
2019-08,79.0687,29.9311
2019-09,73.7098,31.9602
2019-10,78.1935,34.2575
2019-11,78.4423,38.4965
2019-12,73.6934,41.933
2020-01,79.2931,41.1927
2020-02,64.1591,29.1327
2020-03,70.179,15.0941
2020-04,77.6384,29.6087
2020-05,79.6071,35.3017
2020-06,75.371,37.2398
2020-07,87.4539,44.6817
2020-08,98.7474,54.038
2020-09,101.4839,47.5315
2020-10,101.8935,43.1102
2020-11,119.4643,57.9789
2020-12,114.9691,63.0361
2021-01,99.6085,60.507
2021-02,86.5573,64.0387
2021-03,97.4381,70.5941
2021-04,107.51,78.6176
2021-05,109.5134,78.7807
2021-06,117.63,81.7862
2021-07,135.1931,85.165
2021-08,147.5083,89.5209
2021-09,142.4174,79.652
2021-10,163.6325,91.2215
2021-11,187.1123,88.7203
2021-12,199.8054,96.1753
2022-01,164.7424,84.8382
2022-02,170.5782,78.356
2022-03,197.8558,84.1718
2022-04,173.4418,67.1269
2022-05,138.2322,69.9248
2022-06,143.3645,50.6444
2022-07,173.5272,63.8565
2022-08,162.0121,56.4409
2022-09,135.5558,41.6257
2022-10,148.9998,52.5015
2022-11,166.0528,60.3073
2022-12,123.9738,50.5328
2023-01,149.193,59.4277
2023-02,135.0321,54.8564
2023-03,139.7843,60.006
2023-04,141.4361,61.9344
2023-05,144.5237,62.0896
2023-06,155.8348,71.9711
2023-07,164.8386,76.904
2023-08,158.433,73.3179
2023-09,164.2643,64.4308
2023-10,156.0849,60.2637
2023-11,167.6326,74.3036
2023-12,202.9895,81.5558
2024-01,216.9409,83.6948
2024-02,237.6424,92.4418
2024-03,230.4342,97.8859
2024-04,224.5517,89.1612
2024-05,261.3462,97.7957
2024-06,276.8152,103.9456
2024-07,262.6012,105.3805
2024-08,278.5877,105.1825
2024-09,273.7677,108.7418
2024-10,258.016,105.866
2024-11,296.0813,111.6911
2024-12,283.4556,104.7706
2025-01,297.9507,105.8612
2025-02,319.3045,102.4101
2025-03,301.045,92.6645
2025-04,282.7828,73.1455
