Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-74,8,-82,-0.13,-13.7,68.9,1.4
2021-2023,-65,8,-73,-0.08,-35.2,68.9,2.6
2022-2024,8,15,-7,-0.08,-6.4,72.4,1.4
2023-2025,13,15,-2,-0.39,-1.9,73.6,1.9
