Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,16,0,16,0.51,,9.3,47.6
2017-2019,12,9,3,0.32,0.0,9.3,56.1
2018-2020,11,21,-10,1.14,-0.0,37.7,44.4
2019-2021,5,37,-32,1.26,-0.0,37.7,58.9
2020-2022,5,10,-5,1.15,-0.0,37.7,45.0
2021-2023,20,16,4,0.72,0.0,21.7,61.9
2022-2024,37,26,10,0.63,0.1,21.7,86.5
2023-2025,24,49,-26,0.49,-0.4,14.4,127.4
