Date,rate_GOOG_5D,rate_VOO_20D
2015-01,-0.4731,-3.5197
2015-02,4.317,1.8044
2015-03,0.6271,-0.4337
2015-04,-1.2377,0.3137
2015-05,-2.0898,1.1277
2015-06,-4.0501,-1.1499
2015-07,15.0983,0.7758
2015-08,9.6876,-5.4229
2015-09,5.0691,-7.1738
2015-10,21.5929,1.0672
2015-11,24.9771,1.2476
2015-12,25.3647,-0.572
2016-01,21.1924,-4.925
2016-02,12.3952,-4.8231
2016-03,18.9338,1.7982
2016-04,9.5586,1.9719
2016-05,15.4611,3.5419
2016-06,7.8462,3.6524
2016-07,19.2964,7.2416
2016-08,18.0609,7.0197
2016-09,18.6649,6.6568
2016-10,18.8806,4.4599
2016-11,14.1719,8.0958
2016-12,15.5797,9.9999
2017-01,18.5105,11.4564
2017-02,21.6026,15.2492
2017-03,21.693,14.8019
2017-04,32.0285,15.441
2017-05,39.2244,16.5118
2017-06,30.1289,16.6668
2017-07,31.9863,18.4843
2017-08,32.2558,18.2445
2017-09,34.0645,20.0845
2017-10,41.0697,22.2583
2017-11,40.5462,25.3046
2017-12,42.7962,26.2059
2018-01,58.2793,32.449
2018-02,48.1615,26.7739
2018-03,37.3237,23.0189
2018-04,34.4878,22.8575
2018-05,42.4679,25.2441
2018-06,45.3922,25.5573
2018-07,57.4114,29.3514
2018-08,56.1871,32.7978
2018-09,51.8714,32.8363
2018-10,36.0155,23.2702
2018-11,37.4412,25.0563
2018-12,29.3033,13.5319
2019-01,38.7193,22.1943
2019-02,38.3987,25.7013
2019-03,44.1722,27.5721
2019-04,45.08,32.1369
2019-05,34.0799,23.323
2019-06,30.7445,31.3236
2019-07,46.5057,32.644
2019-08,42.2712,29.9311
2019-09,45.1795,31.9602
2019-10,49.2413,34.2575
2019-11,53.6742,38.4965
2019-12,56.4931,41.933
2020-01,66.8106,41.1927
2020-02,54.7063,29.1327
2020-03,40.0719,15.0941
2020-04,61.8631,29.6087
2020-05,70.5237,35.3017
2020-06,67.6721,37.2398
2020-07,74.666,44.6817
2020-08,91.1957,54.038
2020-09,70.7449,47.5315
2020-10,87.2054,43.1102
2020-11,102.0055,57.9789
2020-12,99.6061,63.0361
2021-01,107.6462,60.507
2021-02,128.7405,64.0387
2021-03,130.5663,70.5941
2021-04,166.5347,78.6176
2021-05,164.5591,78.7807
2021-06,172.7695,81.7862
2021-07,191.9362,85.165
2021-08,211.4194,89.5209
2021-09,182.9401,79.652
2021-10,212.2792,91.2215
2021-11,197.629,88.7203
2021-12,199.8681,96.1753
2022-01,179.1472,84.8382
2022-02,175.394,78.356
2022-03,183.0456,84.1718
2022-04,131.3175,67.1269
2022-05,127.3775,69.9248
2022-06,116.7281,50.6444
2022-07,129.7661,63.8565
2022-08,113.7155,56.4409
2022-09,87.3303,41.6257
2022-10,83.3832,52.5015
2022-11,87.0613,60.3073
2022-12,62.8241,50.5328
2023-01,82.5307,59.4277
2023-02,64.2718,54.8564
2023-03,88.398,60.006
2023-04,95.116,61.9344
2023-05,121.3139,62.0896
2023-06,115.8735,71.9711
2023-07,136.2172,76.904
2023-08,142.4031,73.3179
2023-09,131.4067,64.4308
2023-10,113.1274,60.2637
2023-11,117.873,74.3036
2023-12,128.1028,81.5558
2024-01,128.3429,83.6948
2024-02,123.9644,92.4418
2024-03,142.7215,97.8859
2024-04,161.0549,89.1612
2024-05,174.3282,97.7957
2024-06,187.9114,103.9456
2024-07,170.2521,105.3805
2024-08,156.338,105.1825
2024-09,158.5992,108.7418
2024-10,165.7235,105.866
2024-11,160.9669,111.6911
2024-12,190.3008,104.7706
2025-01,199.482,105.8612
2025-02,149.5341,102.4101
2025-03,125.5567,92.6645
2025-04,113.7988,73.1455
