Date,rate_QQQ_5D,rate_VOO_20D
2015-01,-3.1882,-3.5197
2015-02,4.0404,1.8044
2015-03,0.374,-0.4337
2015-04,1.7189,0.3137
2015-05,3.4008,1.1277
2015-06,0.261,-1.1499
2015-07,4.3244,0.7758
2015-08,-2.4604,-5.4229
2015-09,-4.5848,-7.1738
2015-10,6.2378,1.0672
2015-11,6.2164,1.2476
2015-12,3.9816,-0.572
2016-01,-2.9859,-4.925
2016-02,-4.3239,-4.8231
2016-03,2.2798,1.7982
2016-04,-1.1779,1.9719
2016-05,3.122,3.5419
2016-06,0.5892,3.6524
2016-07,7.7226,7.2416
2016-08,8.432,7.0197
2016-09,10.3353,6.6568
2016-10,8.2707,4.4599
2016-11,8.3783,8.0958
2016-12,9.2087,9.9999
2017-01,14.3076,11.4564
2017-02,18.7033,15.2492
2017-03,20.3538,14.8019
2017-04,22.7815,15.441
2017-05,26.7196,16.5118
2017-06,22.9231,16.6668
2017-07,27.071,18.4843
2017-08,28.8414,18.2445
2017-09,27.6059,20.0845
2017-10,32.632,22.2583
2017-11,34.3043,25.3046
2017-12,34.1208,26.2059
2018-01,44.7917,32.449
2018-02,37.5573,26.7739
2018-03,31.08,23.0189
2018-04,30.9394,22.8575
2018-05,37.5431,25.2441
2018-06,38.1869,25.5573
2018-07,41.0753,29.3514
2018-08,48.1654,32.7978
2018-09,46.7027,32.8363
2018-10,33.1994,23.2702
2018-11,32.151,25.0563
2018-12,20.0678,13.5319
2019-01,30.4109,22.1943
2019-02,33.6875,25.7013
2019-03,38.1828,27.5721
2019-04,44.9704,32.1369
2019-05,32.4425,23.323
2019-06,41.6772,31.3236
2019-07,44.1857,32.644
2019-08,40.7028,29.9311
2019-09,41.2945,31.9602
2019-10,46.7171,34.2575
2019-11,51.8446,38.4965
2019-12,56.8121,41.933
2020-01,60.6073,41.1927
2020-02,49.9218,29.1327
2020-03,38.0293,15.0941
2020-04,58.0783,29.6087
2020-05,67.6044,35.3017
2020-06,77.03,37.2398
2020-07,88.7265,44.6817
2020-08,107.8994,54.038
2020-09,94.4779,47.5315
2020-10,87.2505,43.1102
2020-11,106.7597,57.9789
2020-12,115.33,63.0361
2021-01,114.2835,60.507
2021-02,112.4086,64.0387
2021-03,114.5197,70.5941
2021-04,125.5838,78.6176
2021-05,121.2979,78.7807
2021-06,133.5179,81.7862
2021-07,138.4745,85.165
2021-08,146.7096,89.5209
2021-09,131.0034,79.652
2021-10,147.42,91.2215
2021-11,150.537,88.7203
2021-12,151.5885,96.1753
2022-01,127.9937,84.8382
2022-02,116.3718,78.356
2022-03,125.0884,84.1718
2022-04,93.2918,67.1269
2022-05,95.2007,69.9248
2022-06,68.8331,50.6444
2022-07,89.1337,63.8565
2022-08,78.5137,56.4409
2022-09,61.0854,41.6257
2022-10,61.2497,52.5015
2022-11,69.5308,60.3073
2022-12,53.6078,50.5328
2023-01,69.3161,59.4277
2023-02,67.9868,54.8564
2023-03,83.114,60.006
2023-04,83.2137,61.9344
2023-05,96.761,62.0896
2023-06,108.1514,71.9711
2023-07,115.0742,76.904
2023-08,110.8264,73.3179
2023-09,99.1206,64.4308
2023-10,93.3372,60.2637
2023-11,108.2593,74.3036
2023-12,118.8241,81.5558
2024-01,121.6663,83.6948
2024-02,132.1887,92.4418
2024-03,133.9343,97.8859
2024-04,123.968,89.1612
2024-05,132.3519,97.7957
2024-06,146.1207,103.9456
2024-07,140.7309,105.3805
2024-08,136.2587,105.1825
2024-09,141.2637,108.7418
2024-10,138.0088,105.866
2024-11,140.159,111.6911
2024-12,139.3529,104.7706
2025-01,138.8879,105.8612
2025-02,132.0306,102.4101
2025-03,120.0753,92.6645
2025-04,98.0096,73.1455
