Date,rate_HON_5D,rate_VOO_20D
2015-01,-2.0504,-3.5197
2015-02,3.1992,1.8044
2015-03,3.1186,-0.4337
2015-04,-0.7126,0.3137
2015-05,2.722,1.1277
2015-06,-0.0913,-1.1499
2015-07,2.6113,0.7758
2015-08,-2.8276,-5.4229
2015-09,-7.1046,-7.1738
2015-10,1.5886,1.0672
2015-11,2.5916,1.2476
2015-12,1.9664,-0.572
2016-01,1.4968,-4.925
2016-02,0.1341,-4.8231
2016-03,10.2997,1.7982
2016-04,11.6503,1.9719
2016-05,11.0983,3.5419
2016-06,12.8919,3.6524
2016-07,12.2095,7.2416
2016-08,12.5226,7.0197
2016-09,11.8386,6.6568
2016-10,5.2708,4.4599
2016-11,9.762,8.0958
2016-12,11.1902,9.9999
2017-01,13.0345,11.4564
2017-02,18.9531,15.2492
2017-03,18.5622,14.8019
2017-04,23.7501,15.441
2017-05,25.3082,16.5118
2017-06,24.7313,16.6668
2017-07,26.5199,18.4843
2017-08,28.2816,18.2445
2017-09,30.6425,20.0845
2017-10,31.9473,22.2583
2017-11,42.4027,25.3046
2017-12,38.9195,26.2059
2018-01,43.4783,32.449
2018-02,35.4718,26.7739
2018-03,28.6488,23.0189
2018-04,28.0924,22.8575
2018-05,30.8691,25.2441
2018-06,26.7154,25.5573
2018-07,39.6733,29.3514
2018-08,38.9838,32.7978
2018-09,44.4823,32.8363
2018-10,30.5519,23.2702
2018-11,32.2894,25.0563
2018-12,18.4966,13.5319
2019-01,28.4004,22.1943
2019-02,37.8346,25.7013
2019-03,41.3601,27.5721
2019-04,53.5009,32.1369
2019-05,45.0543,23.323
2019-06,53.1709,31.3236
2019-07,50.3376,32.644
2019-08,43.4472,29.9311
2019-09,46.6688,31.9602
2019-10,48.9718,34.2575
2019-11,53.8645,38.4965
2019-12,51.6609,41.933
2020-01,47.5715,41.1927
2020-02,38.1316,29.1327
2020-03,28.6306,15.0941
2020-04,36.0111,29.6087
2020-05,40.3015,35.3017
2020-06,38.4824,37.2398
2020-07,42.4297,44.6817
2020-08,57.9394,54.038
2020-09,56.1901,47.5315
2020-10,55.6953,43.1102
2020-11,92.2462,57.9789
2020-12,99.1406,63.0361
2021-01,81.9161,60.507
2021-02,87.9145,64.0387
2021-03,100.2985,70.5941
2021-04,104.4591,78.6176
2021-05,111.113,78.7807
2021-06,99.2057,81.7862
2021-07,110.9698,85.165
2021-08,108.7449,89.5209
2021-09,89.9735,79.652
2021-10,94.4636,91.2215
2021-11,79.6171,88.7203
2021-12,84.1727,96.1753
2022-01,79.6586,84.8382
2022-02,66.8571,78.356
2022-03,70.3499,84.1718
2022-04,68.6119,67.1269
2022-05,68.7822,69.9248
2022-06,55.8551,50.6444
2022-07,71.485,63.8565
2022-08,68.7942,56.4409
2022-09,48.3316,41.6257
2022-10,80.4454,52.5015
2022-11,94.2228,60.3073
2022-12,88.6565,50.5328
2023-01,82.6293,59.4277
2023-02,67.8555,54.8564
2023-03,66.8325,60.006
2023-04,73.7314,61.9344
2023-05,66.7434,62.0896
2023-06,79.8284,71.9711
2023-07,67.5191,76.904
2023-08,62.4642,73.3179
2023-09,59.1153,64.4308
2023-10,57.2737,60.2637
2023-11,68.5477,74.3036
2023-12,79.7256,81.5558
2024-01,72.6409,83.6948
2024-02,69.932,92.4418
2024-03,74.8559,97.8859
2024-04,63.754,89.1612
2024-05,70.2411,97.7957
2024-06,79.1212,103.9456
2024-07,71.0734,105.3805
2024-08,74.0573,105.1825
2024-09,72.4377,108.7418
2024-10,71.6092,105.866
2024-11,87.6894,111.6911
2024-12,81.9518,104.7706
2025-01,80.3493,105.8612
2025-02,71.9142,102.4101
2025-03,70.417,92.6645
2025-04,50.3717,73.1455
