Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-58,-7,-51,-0.01,-8.5,71.6,2.9
2021-2023,-22,16,-38,-0.01,-2.6,71.6,5.8
2022-2024,59,16,43,-0.01,3.0,74.7,7.1
2023-2025,30,29,0,-0.05,0.0,74.7,7.5
