Date,rate_AAPL_5D,rate_VOO_20D
2015-01,3.6887,-3.5197
2015-02,12.121,1.8044
2015-03,6.4582,-0.4337
2015-04,4.7344,0.3137
2015-05,8.0049,1.1277
2015-06,2.7997,-1.1499
2015-07,-1.1063,0.7758
2015-08,-7.1968,-5.4229
2015-09,-8.1063,-7.1738
2015-10,0.1845,1.0672
2015-11,-0.5648,1.2476
2015-12,-10.62,-0.572
2016-01,-16.2018,-4.925
2016-02,-15.2012,-4.8231
2016-03,-3.6575,1.7982
2016-04,-17.0131,1.9719
2016-05,-10.1657,3.5419
2016-06,-13.436,3.6524
2016-07,-4.9335,7.2416
2016-08,-2.5536,7.0197
2016-09,3.5339,6.6568
2016-10,3.6855,4.4599
2016-11,1.321,8.0958
2016-12,6.1396,9.9999
2017-01,10.8298,11.4564
2017-02,24.6957,15.2492
2017-03,29.4907,14.8019
2017-04,28.4656,15.441
2017-05,35.805,16.5118
2017-06,27.134,16.6668
2017-07,30.3365,18.4843
2017-08,43.2108,18.2445
2017-09,33.3783,20.0845
2017-10,45.1956,22.2583
2017-11,46.8808,25.3046
2017-12,43.3125,26.2059
2018-01,40.5733,32.449
2018-02,49.0174,26.7739
2018-03,39.2481,23.0189
2018-04,36.1244,22.8575
2018-05,53.3529,25.2441
2018-06,50.5877,25.5573
2018-07,53.5391,29.3514
2018-08,82.7073,32.7978
2018-09,79.4036,32.8363
2018-10,72.2576,23.2702
2018-11,40.196,25.0563
2018-12,22.9774,13.5319
2019-01,29.262,22.1943
2019-02,34.4391,25.7013
2019-03,46.719,27.5721
2019-04,53.9991,32.1369
2019-05,34.2353,23.323
2019-06,50.798,31.3236
2019-07,61.2955,32.644
2019-08,57.6124,29.9311
2019-09,67.9963,31.9602
2019-10,85.2712,34.2575
2019-11,98.0461,38.4965
2019-12,115.7501,41.933
2020-01,125.3957,41.1927
2020-02,97.9749,29.1327
2020-03,96.2405,15.0941
2020-04,125.1747,29.6087
2020-05,142.2974,35.3017
2020-06,175.4281,37.2398
2020-07,217.8075,44.6817
2020-08,282.7165,54.038
2020-09,239.8319,47.5315
2020-10,216.2471,43.1102
2020-11,243.0172,57.9789
2020-12,278.548,63.0361
2021-01,272.6572,60.507
2021-02,239.7187,64.0387
2021-03,238.9643,70.5941
2021-04,261.4396,78.6176
2021-05,240.0713,78.7807
2021-06,270.3892,81.7862
2021-07,290.8421,85.165
2021-08,303.642,89.5209
2021-09,272.7303,79.652
2021-10,291.0849,91.2215
2021-11,328.3368,88.7203
2021-12,355.9672,96.1753
2022-01,344.7498,84.8382
2022-02,316.9514,78.356
2022-03,337.1017,84.1718
2022-04,290.0527,67.1269
2022-05,275.998,69.9248
2022-06,231.1189,50.6444
2022-07,290.5505,63.8565
2022-08,275.3408,56.4409
2022-09,243.6992,41.6257
2022-10,270.2315,52.5015
2022-11,237.9854,60.3073
2022-12,194.6387,50.5328
2023-01,224.9602,59.4277
2023-02,230.1533,54.8564
2023-03,266.6781,60.006
2023-04,274.5769,61.9344
2023-05,288.9823,62.0896
2023-06,322.5739,71.9711
2023-07,324.8365,76.904
2023-08,303.9604,73.3179
2023-09,265.5226,64.4308
2023-10,262.0828,60.2637
2023-11,300.5204,74.3036
2023-12,303.1323,81.5558
2024-01,283.4717,83.6948
2024-02,273.872,92.4418
2024-03,252.4409,97.8859
2024-04,247.8621,89.1612
2024-05,290.694,97.7957
2024-06,325.2249,103.9456
2024-07,345.3506,105.3805
2024-08,343.4623,105.1825
2024-09,348.2682,108.7418
2024-10,330.5184,105.866
2024-11,345.4601,111.6911
2024-12,366.9942,104.7706
2025-01,339.5587,105.8612
2025-02,348.1229,102.4101
2025-03,319.6127,92.6645
2025-04,240.7194,73.1455
