Date,rate_UPS_5D,rate_VOO_20D
2015-01,-13.621,-3.5197
2015-02,-6.8448,1.8044
2015-03,-9.7658,-0.4337
2015-04,-4.4896,0.3137
2015-05,-4.5174,1.1277
2015-06,-6.4433,-1.1499
2015-07,-0.5182,0.7758
2015-08,-4.4488,-5.4229
2015-09,-3.3106,-7.1738
2015-10,1.1833,1.0672
2015-11,1.7225,1.2476
2015-12,-4.0515,-0.572
2016-01,-5.6768,-4.925
2016-02,-1.2191,-4.8231
2016-03,7.8268,1.7982
2016-04,6.9816,1.9719
2016-05,5.5431,3.5419
2016-06,9.9571,3.6524
2016-07,9.7916,7.2416
2016-08,11.0909,7.0197
2016-09,10.6874,6.6568
2016-10,8.5949,4.4599
2016-11,17.1404,8.0958
2016-12,15.135,9.9999
2017-01,9.0009,11.4564
2017-02,6.1047,15.2492
2017-03,7.3729,14.8019
2017-04,7.2897,15.441
2017-05,6.416,16.5118
2017-06,10.7645,16.6668
2017-07,10.0665,18.4843
2017-08,14.5786,18.2445
2017-09,19.8474,20.0845
2017-10,16.7075,22.2583
2017-11,21.0661,25.3046
2017-12,18.2272,26.2059
2018-01,25.7021,32.449
2018-02,3.8292,26.7739
2018-03,3.9216,23.0189
2018-04,12.552,22.8575
2018-05,15.7531,25.2441
2018-06,5.7708,25.5573
2018-07,19.0471,29.3514
2018-08,22.4984,32.7978
2018-09,16.0356,32.8363
2018-10,5.5006,23.2702
2018-11,14.8728,25.0563
2018-12,-3.0724,13.5319
2019-01,4.8064,22.1943
2019-02,10.4166,25.7013
2019-03,11.7294,27.5721
2019-04,5.9053,32.1369
2019-05,-6.3374,23.323
2019-06,3.9973,31.3236
2019-07,20.2138,32.644
2019-08,20.0855,29.9311
2019-09,20.8881,31.9602
2019-10,15.8695,34.2575
2019-11,21.0464,38.4965
2019-12,17.9951,41.933
2020-01,4.0801,41.1927
2020-02,-8.2083,29.1327
2020-03,-5.18,15.0941
2020-04,-3.8011,29.6087
2020-05,2.4122,35.3017
2020-06,14.143,37.2398
2020-07,46.2041,44.6817
2020-08,67.6531,54.038
2020-09,69.7004,47.5315
2020-10,59.0734,43.1102
2020-11,73.2332,57.9789
2020-12,69.5619,63.0361
2021-01,55.2617,60.507
2021-02,58.2906,64.0387
2021-03,69.6201,70.5941
2021-04,102.2797,78.6176
2021-05,112.5013,78.7807
2021-06,104.5927,81.7862
2021-07,87.0326,85.165
2021-08,91.0704,89.5209
2021-09,76.8252,79.652
2021-10,106.1892,91.2215
2021-11,91.3857,88.7203
2021-12,105.5561,96.1753
2022-01,92.7682,84.8382
2022-02,100.7759,78.356
2022-03,103.4181,84.1718
2022-04,69.8672,67.1269
2022-05,72.6757,69.9248
2022-06,72.1569,50.6444
2022-07,82.9354,63.8565
2022-08,83.0409,56.4409
2022-09,51.4792,41.6257
2022-10,56.7205,52.5015
2022-11,78.1951,60.3073
2022-12,62.5335,50.5328
2023-01,72.4441,59.4277
2023-02,70.6593,54.8564
2023-03,80.634,60.006
2023-04,66.6874,61.9344
2023-05,55.7223,62.0896
2023-06,66.5457,71.9711
2023-07,73.1646,76.904
2023-08,57.6285,73.3179
2023-09,44.6207,64.4308
2023-10,30.6887,60.2637
2023-11,41.5929,74.3036
2023-12,46.4237,81.5558
2024-01,31.8587,83.6948
2024-02,38.8957,92.4418
2024-03,38.8908,97.8859
2024-04,34.6301,89.1612
2024-05,27.9567,97.7957
2024-06,25.8112,103.9456
2024-07,19.6433,105.3805
2024-08,19.3152,105.1825
2024-09,26.3745,108.7418
2024-10,24.0581,105.866
2024-11,26.9113,111.6911
2024-12,16.8596,104.7706
2025-01,5.3731,105.8612
2025-02,9.6126,102.4101
2025-03,1.2126,92.6645
2025-04,-4.3607,73.1455
