Date,rate_LUNR_5D,rate_VOO_20D
2021-11,0.0,-5.0834
2021-12,-0.9076,2.3716
2022-01,-0.8314,-8.9655
2022-02,-1.0918,-15.4477
2022-03,-0.5992,-9.6319
2022-04,-0.1887,-26.6768
2022-05,-0.7284,-23.8789
2022-06,-0.3944,-43.1593
2022-07,0.2118,-29.9472
2022-08,0.0447,-37.3628
2022-09,0.8117,-52.178
2022-10,1.2468,-41.3022
2022-11,1.8605,-33.4964
2022-12,2.2143,-43.2709
2023-01,3.2401,-34.376
2023-02,104.5998,-38.9473
2023-03,9.4054,-33.7977
2023-04,-21.9471,-31.8693
2023-05,-29.8722,-31.7141
2023-06,-14.9647,-21.8326
2023-07,-11.926,-16.8997
2023-08,-50.2883,-20.4858
2023-09,-60.2935,-29.3728
2023-10,-65.7598,-33.54
2023-11,-64.9701,-19.5001
2023-12,-66.5565,-12.2478
2024-01,-47.545,-10.1089
2024-02,-13.6019,-1.3619
2024-03,-10.0643,4.0822
2024-04,-32.2125,-4.6425
2024-05,-31.9606,3.992
2024-06,-53.5071,10.1419
2024-07,-43.0906,11.5768
2024-08,-31.7225,11.3788
2024-09,11.7921,14.9381
2024-10,4.5392,12.0624
2024-11,94.0247,17.8874
2024-12,80.6424,10.9669
2025-01,79.3622,12.0575
2025-02,54.4295,8.6064
2025-03,9.7993,-1.1392
2025-04,4.6813,-20.6582
