Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,13,0,13,1.0,0.1,4.5,60.2
2016-2018,-11,0,-11,1.0,-0.1,65.2,47.5
2017-2019,7,0,7,1.0,0.7,65.2,54.9
2018-2020,18,0,18,1.0,1.6,65.2,68.2
2019-2021,30,1,29,0.02,5.1,58.6,68.1
2020-2022,7,-11,18,-0.03,6.4,69.0,62.9
2021-2023,6,10,-4,-0.01,-3.2,69.0,63.6
2022-2024,13,30,-17,-0.01,-17.7,69.0,72.5
2023-2025,-1,46,-47,0.01,-58.9,70.6,67.2
