Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,21,12,9,0.88,0.0,17.9,9.2
2017-2019,26,25,1,1.01,0.0,17.9,10.6
2018-2020,31,24,7,0.79,0.1,30.3,12.9
2019-2021,82,65,17,0.77,0.2,30.3,18.2
2020-2022,28,7,21,0.77,0.2,30.8,14.1
2021-2023,33,21,13,0.89,0.2,30.8,17.3
2022-2024,-24,30,-53,0.82,-0.7,21.5,15.0
2023-2025,39,75,-36,0.76,-0.7,18.2,20.2
