Date,rate_XOM_5D,rate_VOO_20D
2015-01,-6.256,-3.5197
2015-02,-4.1841,1.8044
2015-03,-6.2453,-0.4337
2015-04,-2.336,0.3137
2015-05,-3.9235,1.1277
2015-06,-5.7328,-1.1499
2015-07,-9.5594,0.7758
2015-08,-12.3336,-5.4229
2015-09,-11.7669,-7.1738
2015-10,-0.6795,1.0672
2015-11,-1.355,1.2476
2015-12,-5.4146,-0.572
2016-01,-5.1398,-4.925
2016-02,-1.0046,-4.8231
2016-03,2.9312,1.7982
2016-04,8.4946,1.9719
2016-05,9.6165,3.5419
2016-06,14.7075,3.6524
2016-07,8.1241,7.2416
2016-08,6.44,7.0197
2016-09,6.3104,6.6568
2016-10,1.2223,4.4599
2016-11,6.7266,8.0958
2016-12,10.0487,9.9999
2017-01,2.1947,11.4564
2017-02,-0.1311,15.2492
2017-03,0.6297,14.8019
2017-04,0.1466,15.441
2017-05,-0.3676,16.5118
2017-06,-0.1869,16.6668
2017-07,-1.0686,18.4843
2017-08,-4.7423,18.2445
2017-09,2.4256,20.0845
2017-10,4.0623,22.2583
2017-11,4.7971,25.3046
2017-12,5.0877,26.2059
2018-01,9.4842,32.449
2018-02,-4.0395,26.7739
2018-03,-5.365,23.0189
2018-04,-1.2138,22.8575
2018-05,4.1586,25.2441
2018-06,5.8917,25.5573
2018-07,4.215,29.3514
2018-08,3.4751,32.7978
2018-09,9.6366,32.8363
2018-10,2.5312,23.2702
2018-11,3.2166,25.0563
2018-12,-11.5669,13.5319
2019-01,-4.8185,22.1943
2019-02,3.8038,25.7013
2019-03,6.0141,27.5721
2019-04,5.1604,32.1369
2019-05,-6.1164,23.323
2019-06,1.569,31.3236
2019-07,-1.472,32.644
2019-08,-8.0247,29.9311
2019-09,-5.0327,31.9602
2019-10,-9.0036,34.2575
2019-11,-7.0469,38.4965
2019-12,-4.7236,41.933
2020-01,-15.1459,41.1927
2020-02,-28.508,29.1327
2020-03,-46.4844,15.0941
2020-04,-33.6384,29.6087
2020-05,-33.1912,35.3017
2020-06,-33.8386,37.2398
2020-07,-37.2674,44.6817
2020-08,-38.8128,54.038
2020-09,-46.7294,47.5315
2020-10,-48.8381,43.1102
2020-11,-38.0219,57.9789
2020-12,-32.4591,63.0361
2021-01,-26.1806,60.507
2021-02,-8.7839,64.0387
2021-03,-6.2708,70.5941
2021-04,-3.8802,78.6176
2021-05,-0.5474,78.7807
2021-06,7.4068,81.7862
2021-07,-1.9822,85.165
2021-08,-5.7507,89.5209
2021-09,1.7658,79.652
2021-10,11.4619,91.2215
2021-11,4.6967,88.7203
2021-12,6.9344,96.1753
2022-01,32.5733,84.8382
2022-02,37.9123,78.356
2022-03,44.7038,84.1718
2022-04,48.3354,67.1269
2022-05,60.5594,69.9248
2022-06,52.5844,50.6444
2022-07,68.3047,63.8565
2022-08,66.8896,56.4409
2022-09,51.8761,41.6257
2022-10,86.3979,52.5015
2022-11,87.8722,60.3073
2022-12,85.2406,50.5328
2023-01,93.9435,59.4277
2023-02,84.2603,54.8564
2023-03,83.0215,60.006
2023-04,96.556,61.9344
2023-05,70.4382,62.0896
2023-06,78.1375,71.9711
2023-07,77.3636,76.904
2023-08,84.6311,73.3179
2023-09,94.367,64.4308
2023-10,75.1597,60.2637
2023-11,71.588,74.3036
2023-12,66.3322,81.5558
2024-01,70.3939,83.6948
2024-02,74.1857,92.4418
2024-03,92.963,97.8859
2024-04,95.3159,89.1612
2024-05,91.5404,97.7957
2024-06,87.2839,103.9456
2024-07,92.1498,105.3805
2024-08,91.8534,105.1825
2024-09,89.918,108.7418
2024-10,88.4279,105.866
2024-11,87.6241,111.6911
2024-12,70.5169,104.7706
2025-01,68.7659,105.8612
2025-02,76.8292,102.4101
2025-03,80.5496,92.6645
2025-04,55.8307,73.1455
