Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,25,27,-2,0.16,0.0,10.8,69
2016-2018,27,15,12,0.16,0.0,12.5,69
2017-2019,56,32,24,0.16,0.0,12.5,69
2018-2020,58,34,25,0.16,0.0,30.3,69
2019-2021,76,80,-3,0.16,0.0,30.3,69
2020-2022,30,7,22,0.16,0.0,30.3,69
2021-2023,-13,24,-37,0.16,0.0,28.3,69
2022-2024,-16,22,-37,0.16,0.0,27.2,69
2023-2025,-4,67,-71,0.16,0.0,26.7,69
