Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,16,29,-13,0.02,-2.3,56.0,66.7
2016-2018,17,18,-1,0.03,-0.2,66.2,68.4
2017-2019,20,29,-9,0.15,-7.4,66.2,72.3
2018-2020,28,20,9,0.22,8.1,66.2,72.6
2019-2021,31,48,-17,0.23,-22.2,65.1,83.1
2020-2022,26,2,24,0.23,33.1,67.7,81.6
2021-2023,12,18,-6,0.31,-10.3,67.7,76.9
2022-2024,-1,25,-26,0.29,-55.6,67.7,85.4
2023-2025,-5,53,-57,0.17,-138.0,68.7,96.2
