Date,rate_NFLX_5D,rate_VOO_20D
2015-01,2.5641,-3.5197
2015-02,8.913,1.8044
2015-03,-3.2958,-0.4337
2015-04,26.5409,0.3137
2015-05,36.8136,1.1277
2015-06,37.482,-1.1499
2015-07,60.4748,0.7758
2015-08,54.0535,-5.4229
2015-09,34.5369,-7.1738
2015-10,37.6011,1.0672
2015-11,52.9211,1.2476
2015-12,37.9461,-0.572
2016-01,10.1197,-4.925
2016-02,11.6781,-4.8231
2016-03,21.0305,1.7982
2016-04,5.3723,1.9719
2016-05,19.5778,3.5419
2016-06,5.7938,3.6524
2016-07,4.938,7.2416
2016-08,11.6175,7.0197
2016-09,12.3205,6.6568
2016-10,41.3382,4.4599
2016-11,30.8594,8.0958
2016-12,36.87,9.9999
2017-01,53.7303,11.4564
2017-02,53.2507,15.2492
2017-03,57.3195,14.8019
2017-04,59.9481,15.441
2017-05,69.1268,16.5118
2017-06,52.9142,16.6668
2017-07,83.7063,18.4843
2017-08,74.2175,18.2445
2017-09,78.5442,20.0845
2017-10,90.7059,22.2583
2017-11,79.8526,25.3046
2017-12,81.7339,26.2059
2018-01,152.6359,32.449
2018-02,142.9125,26.7739
2018-03,142.3597,23.0189
2018-04,152.57,22.8575
2018-05,179.9528,25.2441
2018-06,206.9128,25.5573
2018-07,160.8664,29.3514
2018-08,180.1696,32.7978
2018-09,181.1051,32.8363
2018-10,123.6233,23.2702
2018-11,109.5374,25.0563
2018-12,93.9263,13.5319
2019-01,143.4772,22.1943
2019-02,153.7204,25.7013
2019-03,149.5065,27.5721
2019-04,156.2115,32.1369
2019-05,134.6345,23.323
2019-06,148.3459,31.3236
2019-07,116.0417,32.644
2019-08,94.7299,29.9311
2019-09,75.9527,31.9602
2019-10,87.5665,34.2575
2019-11,103.7246,38.4965
2019-12,107.7507,41.933
2020-01,119.6502,41.1927
2020-02,132.767,29.1327
2020-03,134.8778,15.0941
2020-04,160.3624,29.6087
2020-05,157.753,35.3017
2020-06,176.7576,37.2398
2020-07,194.4148,44.6817
2020-08,215.6504,54.038
2020-09,195.0619,47.5315
2020-10,178.1087,43.1102
2020-11,184.1631,57.9789
2020-12,210.2426,63.0361
2021-01,202.7093,60.507
2021-02,203.5919,64.0387
2021-03,191.3574,70.5941
2021-04,184.288,78.6176
2021-05,176.0998,78.7807
2021-06,187.6992,81.7862
2021-07,179.5873,85.165
2021-08,205.0113,89.5209
2021-09,224.3025,79.652
2021-10,263.6906,91.2215
2021-11,235.3159,88.7203
2021-12,212.1793,96.1753
2022-01,119.6209,84.8382
2022-02,101.6328,78.356
2022-03,90.376,84.1718
2022-04,-3.5841,67.1269
2022-05,0.0656,69.9248
2022-06,-11.3494,50.6444
2022-07,14.0828,63.8565
2022-08,13.2396,56.4409
2022-09,13.8496,41.6257
2022-10,34.9406,52.5015
2022-11,26.7335,60.3073
2022-12,22.0149,50.5328
2023-01,46.0544,59.4277
2023-02,32.5145,54.8564
2023-03,41.8093,60.006
2023-04,35.0233,61.9344
2023-05,61.3007,62.0896
2023-06,79.0539,71.9711
2023-07,77.6094,76.904
2023-08,74.7587,73.3179
2023-09,51.5527,64.4308
2023-10,64.678,60.2637
2023-11,88.8562,74.3036
2023-12,93.1145,81.5558
2024-01,122.6283,83.6948
2024-02,136.7273,92.4418
2024-03,137.1923,97.8859
2024-04,126.415,89.1612
2024-05,149.074,97.7957
2024-06,160.6271,103.9456
2024-07,141.4326,105.3805
2024-08,168.0911,105.1825
2024-09,169.6927,108.7418
2024-10,185.9076,105.866
2024-11,233.5066,111.6911
2024-12,231.625,104.7706
2025-01,243.5739,105.8612
2025-02,246.5883,102.4101
2025-03,231.2499,92.6645
2025-04,205.5633,73.1455
