Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,3,4,-1,1.24,-0.0,25.6,17.1
2017-2019,-4,17,-22,1.28,-0.0,25.6,23.0
2018-2020,0,21,-21,1.14,-0.0,25.6,28.4
2019-2021,67,43,23,1.12,0.0,19.1,39.6
2020-2022,72,-2,74,1.09,0.3,18.4,29.2
2021-2023,49,1,48,1.1,0.6,24.3,35.2
2022-2024,-9,19,-28,1.17,-0.3,25.8,32.4
2023-2025,12,62,-50,1.27,-0.7,29.3,44.1
