Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,0,0,0,1.0,,0.0,39.0
2016-2018,0,0,0,1.0,,0.0,37.6
2017-2019,0,0,0,1.0,,0.0,57.0
2018-2020,0,0,0,1.0,,0.0,57.3
2019-2021,0,0,0,1.0,,0.0,66.7
2020-2022,0,0,0,1.0,,0.0,72.2
2021-2023,0,0,0,1.0,,0.0,73.8
2022-2024,0,0,0,1.0,,0.0,89.8
2023-2025,0,0,0,1.0,,0.0,93.4
