Date,rate_ASML_5D,rate_VOO_20D
2015-01,-3.8021,-3.5197
2015-02,1.0899,1.8044
2015-03,-5.99,-0.4337
2015-04,0.1778,0.3137
2015-05,4.7433,1.1277
2015-06,-3.4003,-1.1499
2015-07,-7.9095,0.7758
2015-08,-14.7162,-5.4229
2015-09,-15.9747,-7.1738
2015-10,-9.9389,1.0672
2015-11,-9.3286,1.2476
2015-12,-12.4132,-0.572
2016-01,-8.3826,-4.925
2016-02,-8.6994,-4.8231
2016-03,1.0279,1.7982
2016-04,-2.8772,1.9719
2016-05,1.8951,3.5419
2016-06,0.9935,3.6524
2016-07,11.5313,7.2416
2016-08,7.8499,7.0197
2016-09,10.5161,6.6568
2016-10,6.0886,4.4599
2016-11,3.3908,8.0958
2016-12,12.2653,9.9999
2017-01,20.9845,11.4564
2017-02,20.485,15.2492
2017-03,30.3538,14.8019
2017-04,29.6548,15.441
2017-05,28.7608,16.5118
2017-06,26.1309,16.6668
2017-07,44.472,18.4843
2017-08,48.7756,18.2445
2017-09,61.246,20.0845
2017-10,68.3707,22.2583
2017-11,61.6246,25.3046
2017-12,58.3762,26.2059
2018-01,83.0135,32.449
2018-02,68.1184,26.7739
2018-03,69.1479,23.0189
2018-04,60.2589,22.8575
2018-05,65.6309,25.2441
2018-06,65.1143,25.5573
2018-07,76.8407,29.3514
2018-08,67.8068,32.7978
2018-09,52.5871,32.8363
2018-10,38.8309,23.2702
2018-11,37.1644,25.0563
2018-12,23.8198,13.5319
2019-01,38.6995,22.1943
2019-02,44.0688,25.7013
2019-03,47.191,27.5721
2019-04,64.2774,32.1369
2019-05,46.8816,23.323
2019-06,61.3592,31.3236
2019-07,71.6512,32.644
2019-08,70.2576,29.9311
2019-09,88.6241,31.9602
2019-10,97.2146,34.2575
2019-11,102.8563,38.4965
2019-12,119.9098,41.933
2020-01,106.6993,41.1927
2020-02,101.9902,29.1327
2020-03,93.7934,15.0941
2020-04,113.2268,29.6087
2020-05,141.5147,35.3017
2020-06,167.3574,37.2398
2020-07,154.5376,44.6817
2020-08,166.7728,54.038
2020-09,160.8862,47.5315
2020-10,152.9219,43.1102
2020-11,204.8604,57.9789
2020-12,236.4768,63.0361
2021-01,264.9457,60.507
2021-02,283.5681,64.0387
2021-03,313.4278,70.5941
2021-04,329.6689,78.6176
2021-05,344.6351,78.7807
2021-06,350.2855,81.7862
2021-07,394.7871,85.165
2021-08,432.2564,89.5209
2021-09,371.3718,79.652
2021-10,409.2544,91.2215
2021-11,392.4193,88.7203
2021-12,390.6449,96.1753
2022-01,313.5324,84.8382
2022-02,303.5034,78.356
2022-03,300.938,84.1718
2022-04,234.5729,67.1269
2022-05,240.0948,69.9248
2022-06,183.2171,50.6444
2022-07,246.8638,63.8565
2022-08,194.3276,56.4409
2022-09,154.5371,41.6257
2022-10,151.436,52.5015
2022-11,222.5244,60.3073
2022-12,187.8542,50.5328
2023-01,245.4653,59.4277
2023-02,221.3217,54.8564
2023-03,251.5592,60.006
2023-04,226.5934,61.9344
2023-05,269.2117,62.0896
2023-06,267.5065,71.9711
2023-07,260.7099,76.904
2023-08,231.0938,73.3179
2023-09,193.1447,64.4308
2023-10,196.3518,60.2637
2023-11,237.0988,74.3036
2023-12,270.6457,81.5558
2024-01,323.0614,83.6948
2024-02,360.4027,92.4418
2024-03,366.115,97.8859
2024-04,338.7187,89.1612
2024-05,363.7735,97.7957
2024-06,390.4735,103.9456
2024-07,346.9655,105.3805
2024-08,318.3186,105.1825
2024-09,283.2604,108.7418
2024-10,208.1715,105.866
2024-11,212.4126,111.6911
2024-12,212.622,104.7706
2025-01,197.9703,105.8612
2025-02,186.513,102.4101
2025-03,162.8787,92.6645
2025-04,154.239,73.1455
