Date,rate_AMAT_5D,rate_VOO_20D
2015-01,-7.6697,-3.5197
2015-02,2.6018,1.8044
2015-03,-8.7873,-0.4337
2015-04,-18.5099,0.3137
2015-05,-13.7148,1.1277
2015-06,-15.9287,-1.1499
2015-07,-21.0503,0.7758
2015-08,-24.5859,-5.4229
2015-09,-28.5849,-7.1738
2015-10,-15.8542,1.0672
2015-11,-3.914,1.2476
2015-12,-4.2703,-0.572
2016-01,-8.7336,-4.925
2016-02,-1.3137,-4.8231
2016-03,10.8504,1.7982
2016-04,6.4251,1.9719
2016-05,26.4112,3.5419
2016-06,22.7673,3.6524
2016-07,33.1604,7.2416
2016-08,49.5538,7.0197
2016-09,48.7387,6.6568
2016-10,41.5832,4.4599
2016-11,55.3459,8.0958
2016-12,53.7286,9.9999
2017-01,60.7638,11.4564
2017-02,67.9989,15.2492
2017-03,77.7355,14.8019
2017-04,82.6515,15.441
2017-05,103.5734,16.5118
2017-06,80.2797,16.6668
2017-07,90.4358,18.4843
2017-08,91.5347,18.2445
2017-09,117.9809,20.0845
2017-10,132.4687,22.2583
2017-11,114.4955,25.3046
2017-12,104.7027,26.2059
2018-01,111.7489,32.449
2018-02,124.6787,26.7739
2018-03,113.9138,23.0189
2018-04,88.5591,22.8575
2018-05,91.2342,25.2441
2018-06,71.9526,25.5573
2018-07,79.2717,29.3514
2018-08,57.7804,32.7978
2018-09,40.7878,32.8363
2018-10,19.0374,23.2702
2018-11,35.0953,25.0563
2018-12,17.9558,13.5319
2019-01,40.2961,22.1943
2019-02,37.5444,25.7013
2019-03,41.4386,27.5721
2019-04,56.2067,32.1369
2019-05,37.146,23.323
2019-06,58.1825,31.3236
2019-07,72.7004,32.644
2019-08,67.523,29.9311
2019-09,72.8763,31.9602
2019-10,86.5519,34.2575
2019-11,98.1588,38.4965
2019-12,107.1269,41.933
2020-01,95.1026,41.1927
2020-02,94.4958,29.1327
2020-03,58.6589,15.0941
2020-04,71.1641,29.6087
2020-05,92.9584,35.3017
2020-06,106.1346,37.2398
2020-07,117.62,44.6817
2020-08,107.4241,54.038
2020-09,98.8031,47.5315
2020-10,96.6467,43.1102
2020-11,172.5697,57.9789
2020-12,182.6788,63.0361
2021-01,213.7631,60.507
2021-02,280.5461,64.0387
2021-03,325.9289,70.5941
2021-04,318.8117,78.6176
2021-05,332.4498,78.7807
2021-06,341.4689,81.7862
2021-07,329.6535,85.165
2021-08,311.7165,89.5209
2021-09,288.6057,79.652
2021-10,308.7837,91.2215
2021-11,337.0201,88.7203
2021-12,362.9003,96.1753
2022-01,302.7542,84.8382
2022-02,288.4661,78.356
2022-03,278.3351,84.1718
2022-04,214.1836,67.1269
2022-05,216.2108,69.9248
2022-06,151.2663,50.6444
2022-07,194.6149,63.8565
2022-08,160.3106,56.4409
2022-09,125.3694,41.6257
2022-10,128.1893,52.5015
2022-11,182.2556,60.3073
2022-12,149.2369,50.5328
2023-01,183.3882,59.4277
2023-02,193.9144,54.8564
2023-03,208.7353,60.006
2023-04,182.208,61.9344
2023-05,231.5482,62.0896
2023-06,257.0462,71.9711
2023-07,271.8146,76.904
2023-08,272.8701,73.3179
2023-09,235.6014,64.4308
2023-10,220.4511,60.2637
2023-11,250.3826,74.3036
2023-12,276.5934,81.5558
2024-01,279.1885,83.6948
2024-02,362.9788,92.4418
2024-03,370.2054,97.8859
2024-04,357.9662,89.1612
2024-05,383.8722,97.7957
2024-06,427.1796,103.9456
2024-07,370.708,105.3805
2024-08,319.8146,105.1825
2024-09,327.2629,108.7418
2024-10,286.6103,105.866
2024-11,262.337,111.6911
2024-12,235.2385,104.7706
2025-01,268.4625,105.8612
2025-02,248.4497,102.4101
2025-03,220.6705,92.6645
2025-04,191.9441,73.1455
