Date,rate_AVGO_5D,rate_VOO_20D
2015-01,-2.6817,-3.5197
2015-02,19.6678,1.8044
2015-03,14.3368,-0.4337
2015-04,4.2031,0.3137
2015-05,28.6982,1.1277
2015-06,12.4691,-1.1499
2015-07,4.2075,0.7758
2015-08,4.3196,-5.4229
2015-09,3.9171,-7.1738
2015-10,2.2491,1.0672
2015-11,8.0362,1.2476
2015-12,19.6841,-0.572
2016-01,9.4888,-4.925
2016-02,8.8428,-4.8231
2016-03,25.0279,1.7982
2016-04,16.8917,1.9719
2016-05,22.6637,3.5419
2016-06,22.6341,3.6524
2016-07,26.5165,7.2416
2016-08,36.3418,7.0197
2016-09,32.1764,6.6568
2016-10,29.1197,4.4599
2016-11,27.8876,8.0958
2016-12,31.9708,9.9999
2017-01,47.3359,11.4564
2017-02,53.8221,15.2492
2017-03,58.1917,14.8019
2017-04,57.4518,15.441
2017-05,68.6576,16.5118
2017-06,62.4626,16.6668
2017-07,69.6874,18.4843
2017-08,71.1311,18.2445
2017-09,63.3141,20.0845
2017-10,75.7036,22.2583
2017-11,82.8641,25.3046
2017-12,68.2493,26.2059
2018-01,60.4364,32.449
2018-02,57.8909,26.7739
2018-03,51.7935,23.0189
2018-04,46.5011,22.8575
2018-05,59.6308,25.2441
2018-06,54.3187,25.5573
2018-07,40.0894,29.3514
2018-08,37.518,32.7978
2018-09,55.1266,32.8363
2018-10,39.4257,23.2702
2018-11,47.178,25.0563
2018-12,49.9272,13.5319
2019-01,57.1055,22.1943
2019-02,60.1207,25.7013
2019-03,75.0298,27.5721
2019-04,83.7824,32.1369
2019-05,44.42,23.323
2019-06,65.5071,31.3236
2019-07,65.4697,32.644
2019-08,60.1631,29.9311
2019-09,56.9022,31.9602
2019-10,65.3701,34.2575
2019-11,77.3511,38.4965
2019-12,77.6922,41.933
2020-01,70.3505,41.1927
2020-02,51.1283,29.1327
2020-03,14.096,15.0941
2020-04,30.5614,29.6087
2020-05,39.5762,35.3017
2020-06,52.1496,37.2398
2020-07,51.9241,44.6817
2020-08,65.5512,54.038
2020-09,74.2711,47.5315
2020-10,66.1918,43.1102
2020-11,89.6891,57.9789
2020-12,107.2151,63.0361
2021-01,111.6681,60.507
2021-02,119.1044,64.0387
2021-03,116.3112,70.5941
2021-04,111.3055,78.6176
2021-05,117.2956,78.7807
2021-06,119.5808,81.7862
2021-07,122.0135,85.165
2021-08,125.8665,89.5209
2021-09,120.3992,79.652
2021-10,139.9946,91.2215
2021-11,148.1951,88.7203
2021-12,197.9789,96.1753
2022-01,160.4823,84.8382
2022-02,159.2883,78.356
2022-03,177.8556,84.1718
2022-04,142.1524,67.1269
2022-05,138.6706,69.9248
2022-06,106.4326,50.6444
2022-07,122.0344,63.8565
2022-08,105.7355,56.4409
2022-09,89.1199,41.6257
2022-10,84.4047,52.5015
2022-11,115.1065,60.3073
2022-12,118.87,50.5328
2023-01,127.6918,59.4277
2023-02,129.9579,54.8564
2023-03,148.5406,60.006
2023-04,141.3009,61.9344
2023-05,209.3749,62.0896
2023-06,231.7369,71.9711
2023-07,241.3319,76.904
2023-08,248.254,73.3179
2023-09,213.0556,64.4308
2023-10,210.8628,60.2637
2023-11,229.377,74.3036
2023-12,296.3229,81.5558
2024-01,316.0308,83.6948
2024-02,355.2915,92.4418
2024-03,362.6773,97.8859
2024-04,350.7353,89.1612
2024-05,357.3829,97.7957
2024-06,450.6239,103.9456
2024-07,447.0958,105.3805
2024-08,421.6708,105.1825
2024-09,450.686,108.7418
2024-10,442.8834,105.866
2024-11,389.4108,111.6911
2024-12,597.2473,104.7706
2025-01,571.967,105.8612
2025-02,509.8587,102.4101
2025-03,418.9711,92.6645
2025-04,399.3098,73.1455
