Date,rate_ENS_5D,rate_VOO_20D
2015-01,-2.3883,-3.5197
2015-02,8.9843,1.8044
2015-03,5.1042,-0.4337
2015-04,9.1937,0.3137
2015-05,5.2668,1.1277
2015-06,9.8038,-1.1499
2015-07,-2.1086,0.7758
2015-08,-12.455,-5.4229
2015-09,-10.3647,-7.1738
2015-10,3.0651,1.0672
2015-11,-0.4141,1.2476
2015-12,-4.7644,-0.572
2016-01,-16.2805,-4.925
2016-02,-9.6926,-4.8231
2016-03,-1.233,1.7982
2016-04,3.3557,1.9719
2016-05,6.2298,3.5419
2016-06,4.7086,3.6524
2016-07,9.2392,7.2416
2016-08,22.5532,7.0197
2016-09,19.8501,6.6568
2016-10,11.8825,4.4599
2016-11,35.9861,8.0958
2016-12,32.3741,9.9999
2017-01,30.7125,11.4564
2017-02,27.4794,15.2492
2017-03,30.3289,14.8019
2017-04,36.1362,15.441
2017-05,20.2437,16.5118
2017-06,17.1393,16.6668
2017-07,16.2986,18.4843
2017-08,2.6911,18.2445
2017-09,10.932,20.0845
2017-10,10.9315,22.2583
2017-11,10.1317,25.3046
2017-12,11.0116,26.2059
2018-01,11.7936,32.449
2018-02,8.7178,26.7739
2018-03,8.119,23.0189
2018-04,6.6799,22.8575
2018-05,23.9197,25.2441
2018-06,15.4587,25.5573
2018-07,26.4586,29.3514
2018-08,27.2979,32.7978
2018-09,33.315,32.8363
2018-10,21.1086,23.2702
2018-11,32.434,25.0563
2018-12,17.2746,13.5319
2019-01,28.432,22.1943
2019-02,10.6873,25.7013
2019-03,-2.0079,27.5721
2019-04,3.9991,32.1369
2019-05,-15.5406,23.323
2019-06,3.3334,31.3236
2019-07,2.691,32.644
2019-08,-15.5672,29.9311
2019-09,0.0425,31.9602
2019-10,1.4532,34.2575
2019-11,6.3581,38.4965
2019-12,13.5116,41.933
2020-01,9.0124,41.1927
2020-02,-7.0269,29.1327
2020-03,-24.5684,15.0941
2020-04,-10.4088,29.6087
2020-05,-2.6361,35.3017
2020-06,-0.7325,37.2398
2020-07,3.6917,44.6817
2020-08,10.8563,54.038
2020-09,3.5822,47.5315
2020-10,10.3834,43.1102
2020-11,25.8656,57.9789
2020-12,27.6707,63.0361
2021-01,25.8069,60.507
2021-02,37.5627,64.0387
2021-03,38.0233,70.5941
2021-04,38.6576,78.6176
2021-05,42.1738,78.7807
2021-06,47.1111,81.7862
2021-07,47.9048,85.165
2021-08,26.3131,89.5209
2021-09,11.2056,79.652
2021-10,19.3822,91.2215
2021-11,10.2399,88.7203
2021-12,17.6877,96.1753
2022-01,11.3167,84.8382
2022-02,7.912,78.356
2022-03,10.8548,84.1718
2022-04,-2.8218,67.1269
2022-05,3.0957,69.9248
2022-06,-7.7881,50.6444
2022-07,1.2856,63.8565
2022-08,-4.185,56.4409
2022-09,-9.8207,41.6257
2022-10,-2.3989,52.5015
2022-11,11.2873,60.3073
2022-12,8.8745,50.5328
2023-01,22.2236,59.4277
2023-02,33.2378,54.8564
2023-03,27.6591,60.006
2023-04,21.6631,61.9344
2023-05,42.3595,62.0896
2023-06,58.5928,71.9711
2023-07,57.6956,76.904
2023-08,52.3418,73.3179
2023-09,37.2572,64.4308
2023-10,23.7735,60.2637
2023-11,27.68,74.3036
2023-12,45.6928,81.5558
2024-01,37.5376,83.6948
2024-02,31.9334,92.4418
2024-03,35.6711,97.8859
2024-04,29.6188,89.1612
2024-05,54.2155,97.7957
2024-06,47.9019,103.9456
2024-07,56.5904,105.3805
2024-08,44.0072,105.1825
2024-09,45.0258,108.7418
2024-10,39.0097,105.866
2024-11,36.168,111.6911
2024-12,30.2436,104.7706
2025-01,36.5179,105.8612
2025-02,35.8071,102.4101
2025-03,27.5606,92.6645
2025-04,21.8108,73.1455
