Date,rate_AMD_5D,rate_VOO_20D
2015-01,-5.288,-3.5197
2015-02,15.0311,1.8044
2015-03,-0.6484,-0.4337
2015-04,-16.6485,0.3137
2015-05,-13.6272,1.1277
2015-06,-6.9075,-1.1499
2015-07,-22.0568,0.7758
2015-08,-25.9303,-5.4229
2015-09,-26.6435,-7.1738
2015-10,-7.327,1.0672
2015-11,3.5013,1.2476
2015-12,25.5736,-0.572
2016-01,-4.9713,-4.925
2016-02,-7.0919,-4.8231
2016-03,24.1268,1.7982
2016-04,50.7256,1.9719
2016-05,90.0028,3.5419
2016-06,108.5294,3.6524
2016-07,170.2339,7.2416
2016-08,182.9044,7.0197
2016-09,156.943,6.6568
2016-10,161.6403,4.4599
2016-11,214.2072,8.0958
2016-12,289.2836,9.9999
2017-01,246.1398,11.4564
2017-02,368.4547,15.2492
2017-03,357.9929,14.8019
2017-04,307.3299,15.441
2017-05,234.0146,16.5118
2017-06,264.1649,16.6668
2017-07,287.7894,18.4843
2017-08,262.2797,18.2445
2017-09,247.6922,20.0845
2017-10,193.4675,22.2583
2017-11,185.3639,25.3046
2017-12,164.6757,26.2059
2018-01,247.7196,32.449
2018-02,186.9189,26.7739
2018-03,134.2637,23.0189
2018-04,150.0434,22.8575
2018-05,210.9451,25.2441
2018-06,233.9128,25.5573
2018-07,301.4868,29.3514
2018-08,442.0612,32.7978
2018-09,553.2206,32.8363
2018-10,279.0279,23.2702
2018-11,335.7093,25.0563
2018-12,271.4936,13.5319
2019-01,383.9793,22.1943
2019-02,359.2569,25.7013
2019-03,390.3967,27.5721
2019-04,422.8918,32.1369
2019-05,410.8618,23.323
2019-06,457.7278,31.3236
2019-07,450.9457,32.644
2019-08,460.7483,29.9311
2019-09,409.5853,31.9602
2019-10,488.2302,34.2575
2019-11,569.2741,38.4965
2019-12,672.8931,41.933
2020-01,680.8662,41.1927
2020-02,644.949,29.1327
2020-03,600.3768,15.0941
2020-04,696.226,29.6087
2020-05,706.7018,35.3017
2020-06,678.4477,37.2398
2020-07,1030.9582,44.6817
2020-08,1208.9955,54.038
2020-09,1066.2681,47.5315
2020-10,957.135,43.1102
2020-11,1184.4736,57.9789
2020-12,1155.2225,63.0361
2021-01,1057.4947,60.507
2021-02,1028.2261,64.0387
2021-03,935.4533,70.5941
2021-04,963.9234,78.6176
2021-05,931.7876,78.7807
2021-06,1096.3776,81.7862
2021-07,1237.0282,85.165
2021-08,1278.102,89.5209
2021-09,1166.3771,79.652
2021-10,1363.114,91.2215
2021-11,1805.6228,88.7203
2021-12,1612.2418,96.1753
2022-01,1244.5407,84.8382
2022-02,1335.9997,78.356
2022-03,1159.6287,84.1718
2022-04,875.0312,67.1269
2022-05,1033.1719,69.9248
2022-06,808.8782,50.6444
2022-07,999.0083,63.8565
2022-08,877.6487,56.4409
2022-09,623.1667,41.6257
2022-10,579.1773,52.5015
2022-11,770.0602,60.3073
2022-12,619.306,50.5328
2023-01,727.1978,59.4277
2023-02,757.1534,54.8564
2023-03,959.5336,60.006
2023-04,857.5596,61.9344
2023-05,1155.2668,62.0896
2023-06,1098.7861,71.9711
2023-07,1093.2886,76.904
2023-08,993.1045,73.3179
2023-09,953.9743,64.4308
2023-10,907.3557,60.2637
2023-11,1059.7757,74.3036
2023-12,1299.0978,81.5558
2024-01,1478.0564,83.6948
2024-02,1696.3748,92.4418
2024-03,1569.7983,97.8859
2024-04,1362.0374,89.1612
2024-05,1428.102,97.7957
2024-06,1373.1078,103.9456
2024-07,1201.5479,105.3805
2024-08,1193.0238,105.1825
2024-09,1316.9143,108.7418
2024-10,1153.888,105.866
2024-11,1096.0878,111.6911
2024-12,945.1896,104.7706
2025-01,895.8664,105.8612
2025-02,751.3907,102.4101
2025-03,769.693,92.6645
2025-04,651.8651,73.1455
