Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,39,29,10,0.09,2.4,9.2,72.7
2016-2018,30,18,12,0.36,4.3,60.1,73.3
2017-2019,48,29,19,0.66,22.8,60.1,100.0
2018-2020,45,20,25,0.39,33.2,60.1,123.8
2019-2021,106,48,57,0.38,82.9,23.7,162.7
2020-2022,49,2,47,0.38,67.6,73.0,153.2
2021-2023,39,18,21,0.58,47.2,73.0,192.9
2022-2024,-9,25,-34,0.53,-90.2,73.0,196.6
2023-2025,15,39,-24,0.47,-80.3,70.7,222.5
