Date,rate_KO_5D,rate_VOO_20D
2015-01,-6.3342,-3.5197
2015-02,-0.313,1.8044
2015-03,-5.8367,-0.4337
2015-04,-4.811,0.3137
2015-05,-3.2894,1.1277
2015-06,-6.2199,-1.1499
2015-07,-1.2693,0.7758
2015-08,-5.5298,-5.4229
2015-09,-2.3044,-7.1738
2015-10,3.3683,1.0672
2015-11,4.3775,1.2476
2015-12,4.7822,-0.572
2016-01,4.4576,-4.925
2016-02,4.6238,-4.8231
2016-03,12.9222,1.7982
2016-04,8.2345,1.9719
2016-05,7.2157,3.5419
2016-06,9.3756,3.6524
2016-07,4.827,7.2416
2016-08,4.0286,7.0197
2016-09,1.9745,6.6568
2016-10,2.0893,4.4599
2016-11,-2.0987,8.0958
2016-12,0.5649,9.9999
2017-01,0.7591,11.4564
2017-02,1.6574,15.2492
2017-03,3.6304,14.8019
2017-04,5.1988,15.441
2017-05,10.6098,16.5118
2017-06,9.641,16.6668
2017-07,11.7236,18.4843
2017-08,10.6588,18.2445
2017-09,9.8638,20.0845
2017-10,11.8736,22.2583
2017-11,11.8972,25.3046
2017-12,11.802,26.2059
2018-01,15.6217,32.449
2018-02,6.7362,26.7739
2018-03,6.6887,23.0189
2018-04,6.0172,22.8575
2018-05,5.4063,25.2441
2018-06,8.3239,25.5573
2018-07,14.9408,29.3514
2018-08,9.5472,32.7978
2018-09,14.1935,32.8363
2018-10,18.0445,23.2702
2018-11,24.8327,25.0563
2018-12,16.9296,13.5319
2019-01,18.5084,22.1943
2019-02,11.2709,25.7013
2019-03,15.7314,27.5721
2019-04,20.848,32.1369
2019-05,20.6425,23.323
2019-06,25.5791,31.3236
2019-07,29.1989,32.644
2019-08,34.5281,29.9311
2019-09,33.4252,31.9602
2019-10,32.815,34.2575
2019-11,30.7429,38.4965
2019-12,34.9731,41.933
2020-01,41.814,41.1927
2020-02,29.2774,29.1327
2020-03,19.5484,15.0941
2020-04,24.0632,29.6087
2020-05,25.8296,35.3017
2020-06,21.1438,37.2398
2020-07,27.7274,44.6817
2020-08,33.4518,54.038
2020-09,33.6217,47.5315
2020-10,29.5688,43.1102
2020-11,39.6233,57.9789
2020-12,47.7275,63.0361
2021-01,29.309,60.507
2021-02,31.1086,64.0387
2021-03,41.7582,70.5941
2021-04,44.6156,78.6176
2021-05,47.4955,78.7807
2021-06,44.8369,81.7862
2021-07,52.0445,85.165
2021-08,49.4879,89.5209
2021-09,39.8543,79.652
2021-10,49.6516,91.2215
2021-11,39.7689,88.7203
2021-12,57.1868,96.1753
2022-01,61.2716,84.8382
2022-02,63.7793,78.356
2022-03,63.6601,84.1718
2022-04,69.7875,67.1269
2022-05,61.3223,69.9248
2022-06,58.1926,50.6444
2022-07,60.6838,63.8565
2022-08,53.8865,56.4409
2022-09,40.2849,41.6257
2022-10,49.4494,52.5015
2022-11,59.4118,60.3073
2022-12,58.7911,50.5328
2023-01,52.5283,59.4277
2023-02,47.5077,54.8564
2023-03,54.441,60.006
2023-04,59.1495,61.9344
2023-05,47.5434,62.0896
2023-06,49.5567,71.9711
2023-07,53.2944,76.904
2023-08,47.604,73.3179
2023-09,38.7899,64.4308
2023-10,39.718,60.2637
2023-11,45.3029,74.3036
2023-12,46.0941,81.5558
2024-01,47.0391,83.6948
2024-02,47.9012,92.4418
2024-03,51.5042,97.8859
2024-04,52.5078,89.1612
2024-05,54.8951,97.7957
2024-06,57.3774,103.9456
2024-07,64.4971,105.3805
2024-08,77.9959,105.1825
2024-09,77.0426,108.7418
2024-10,60.3981,105.866
2024-11,58.1057,111.6911
2024-12,53.1506,104.7706
2025-01,55.7061,105.8612
2025-02,74.1546,102.4101
2025-03,73.6909,92.6645
2025-04,64.4707,73.1455
