Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,51,30,21,0.08,3.6,3.2,38
2016-2018,-17,18,-35,0.08,-42.9,11.5,31
2017-2019,35,30,5,0.08,4.4,11.5,52
2018-2020,49,27,22,0.08,20.8,11.5,64
2019-2021,96,71,26,0.08,55.2,11.6,77
2020-2022,-10,9,-19,0.08,-28.8,13.6,61
2021-2023,-8,23,-31,0.08,-46.3,13.6,76
2022-2024,40,39,1,0.08,2.1,13.5,94
