Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-19,12,-31,0.78,,27.9,17.1
2017-2019,3,25,-23,0.57,-0.0,27.9,22.1
2018-2020,-15,24,-39,0.8,-0.0,40.9,19.9
2019-2021,21,65,-44,0.83,-0.0,40.9,21.8
2020-2022,42,7,35,0.67,0.1,40.9,30.8
2021-2023,116,21,95,0.32,0.5,15.2,42.3
2022-2024,80,30,51,0.32,0.6,20.2,41.8
2023-2025,151,75,76,0.37,1.5,22.9,67.9
