Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,20,28,-8,-0.04,-0.2,5.5,19.4
2016-2018,19,18,1,0.15,0.0,8.4,18.9
2017-2019,38,30,7,0.79,3.0,8.4,26.5
2018-2020,36,27,9,0.33,3.5,8.4,28.0
2019-2021,72,71,1,0.26,1.5,7.1,36.3
2020-2022,52,9,43,0.27,81.7,7.1,44.3
2021-2023,20,23,-4,0.27,-10.0,6.9,36.4
2022-2024,-40,33,-72,0.23,-203.2,7.4,34.0
2023-2025,-57,46,-103,0.13,-162.7,11.9,33.8
