Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,19,33,-14,0.08,-0.5,5.9,23.4
2016-2018,10,21,-11,0.3,-0.8,60.8,20.8
2017-2019,33,34,0,1.58,-0.0,60.8,27.7
2018-2020,24,30,-6,0.05,-0.6,60.8,30.5
2019-2021,56,60,-4,-0.2,-0.8,57.4,37.0
2020-2022,-2,9,-11,0.19,-1.4,66.4,27.5
2021-2023,-6,20,-26,4.04,-3.4,66.4,33.3
2022-2024,-44,20,-65,4.72,-8.4,73.0,27.1
2023-2025,-37,11,-48,1.24,-7.0,80.9,22.7
