Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,10,12,-2,1.14,-0.0,23.9,13.3
2017-2019,-35,25,-61,1.23,-0.1,23.9,11.2
2018-2020,-33,24,-57,1.18,-0.1,55.7,12.5
2019-2021,23,65,-43,1.15,-0.0,55.7,14.2
2020-2022,36,7,29,1.12,0.0,45.3,12.0
2021-2023,1,21,-20,1.05,-0.0,33.5,13.5
2022-2024,4,30,-26,0.99,-0.0,32.0,13.4
2023-2025,36,75,-39,1.15,-0.1,34.4,16.8
