Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,217,23,194,0.02,36.0,56.6,5.0
2021-2023,2214,23,2190,0.59,757.7,56.6,54.1
2022-2024,-796,33,-829,0.57,-480.3,56.6,96.3
2023-2025,2798,61,2737,0.5,2238.2,33.0,96.6
