Date,rate_PLD_5D,rate_VOO_20D
2015-01,-0.45,-3.5197
2015-02,-5.8229,1.8044
2015-03,-1.6188,-0.4337
2015-04,-8.9089,0.3137
2015-05,-9.1257,1.1277
2015-06,-13.0696,-1.1499
2015-07,-3.6965,0.7758
2015-08,-9.545,-5.4229
2015-09,-5.5095,-7.1738
2015-10,4.1856,1.0672
2015-11,3.7505,1.2476
2015-12,4.6676,-0.572
2016-01,-3.9194,-4.925
2016-02,-6.1558,-4.8231
2016-03,8.9626,1.7982
2016-04,11.3626,1.9719
2016-05,15.6352,3.5419
2016-06,19.3405,3.6524
2016-07,31.3225,7.2416
2016-08,26.5472,7.0197
2016-09,27.291,6.6568
2016-10,22.9103,4.4599
2016-11,19.2638,8.0958
2016-12,23.9503,9.9999
2017-01,13.8331,11.4564
2017-02,18.3159,15.2492
2017-03,20.6326,14.8019
2017-04,25.7225,15.441
2017-05,27.3624,16.5118
2017-06,34.4736,16.6668
2017-07,38.2348,18.4843
2017-08,42.7768,18.2445
2017-09,42.6688,20.0845
2017-10,43.8567,22.2583
2017-11,46.2077,25.3046
2017-12,42.196,26.2059
2018-01,42.4872,32.449
2018-02,26.4336,26.7739
2018-03,31.5409,23.0189
2018-04,34.7589,22.8575
2018-05,32.7598,25.2441
2018-06,35.6991,25.5573
2018-07,34.7731,29.3514
2018-08,37.1555,32.7978
2018-09,38.5888,32.8363
2018-10,31.0933,23.2702
2018-11,36.2299,25.0563
2018-12,18.993,13.5319
2019-01,39.5921,22.1943
2019-02,40.5703,25.7013
2019-03,44.5523,27.5721
2019-04,53.052,32.1369
2019-05,46.0906,23.323
2019-06,58.8734,31.3236
2019-07,58.7674,32.644
2019-08,63.577,29.9311
2019-09,66.5945,31.9602
2019-10,70.3154,34.2575
2019-11,76.3936,38.4965
2019-12,71.5933,41.933
2020-01,77.5928,41.1927
2020-02,59.9685,29.1327
2020-03,50.1848,15.0941
2020-04,66.0887,29.6087
2020-05,69.265,35.3017
2020-06,72.6107,37.2398
2020-07,93.709,44.6817
2020-08,85.855,54.038
2020-09,83.419,47.5315
2020-10,79.645,43.1102
2020-11,79.9789,57.9789
2020-12,79.227,63.0361
2021-01,84.5242,60.507
2021-02,76.0186,64.0387
2021-03,88.3635,70.5941
2021-04,105.7702,78.6176
2021-05,106.6879,78.7807
2021-06,109.2981,81.7862
2021-07,122.658,85.165
2021-08,132.5112,89.5209
2021-09,116.0674,79.652
2021-10,148.041,91.2215
2021-11,156.1109,88.7203
2021-12,185.0211,96.1753
2022-01,163.5651,84.8382
2022-02,143.3993,78.356
2022-03,169.0401,84.1718
2022-04,164.3403,67.1269
2022-05,140.5214,69.9248
2022-06,114.4259,50.6444
2022-07,140.1571,63.8565
2022-08,124.1719,56.4409
2022-09,83.214,41.6257
2022-10,98.7655,52.5015
2022-11,110.3223,60.3073
2022-12,101.5445,50.5328
2023-01,129.8897,59.4277
2023-02,118.1692,54.8564
2023-03,121.0147,60.006
2023-04,120.6653,61.9344
2023-05,118.2596,62.0896
2023-06,115.2909,71.9711
2023-07,117.8702,76.904
2023-08,115.7931,73.3179
2023-09,95.34,64.4308
2023-10,74.5937,60.2637
2023-11,98.3215,74.3036
2023-12,130.3891,81.5558
2024-01,117.8865,83.6948
2024-02,128.0021,92.4418
2024-03,123.2934,97.8859
2024-04,74.3259,89.1612
2024-05,87.9579,97.7957
2024-06,91.9393,103.9456
2024-07,114.5283,105.3805
2024-08,103.4768,105.1825
2024-09,101.6406,108.7418
2024-10,81.2864,105.866
2024-11,82.6787,111.6911
2024-12,66.1666,104.7706
2025-01,86.8453,105.8612
2025-02,93.4339,102.4101
2025-03,81.4542,92.6645
2025-04,53.7655,73.1455
