Date,rate_PEP_5D,rate_VOO_20D
2015-01,-5.6164,-3.5197
2015-02,-0.8936,1.8044
2015-03,-2.7154,-0.4337
2015-04,-2.6682,0.3137
2015-05,-1.221,1.1277
2015-06,-3.5009,-1.1499
2015-07,-0.1705,0.7758
2015-08,-3.8754,-5.4229
2015-09,-1.3433,-7.1738
2015-10,7.0332,1.0672
2015-11,4.4999,1.2476
2015-12,4.3197,-0.572
2016-01,3.5173,-4.925
2016-02,1.733,-4.8231
2016-03,7.0438,1.7982
2016-04,7.0214,1.9719
2016-05,4.6923,3.5419
2016-06,10.042,3.6524
2016-07,12.6082,7.2416
2016-08,10.6158,7.0197
2016-09,12.0689,6.6568
2016-10,9.9369,4.4599
2016-11,3.0374,8.0958
2016-12,7.4875,9.9999
2017-01,6.3098,11.4564
2017-02,12.8205,15.2492
2017-03,14.6322,14.8019
2017-04,15.4855,15.441
2017-05,19.3953,16.5118
2017-06,17.3506,16.6668
2017-07,17.923,18.4843
2017-08,17.3122,18.2445
2017-09,12.4172,20.0845
2017-10,10.8401,22.2583
2017-11,17.5929,25.3046
2017-12,20.5101,26.2059
2018-01,20.3306,32.449
2018-02,11.5165,26.7739
2018-03,11.464,23.0189
2018-04,2.799,22.8575
2018-05,3.0507,25.2441
2018-06,11.8165,25.5573
2018-07,17.7982,29.3514
2018-08,14.41,32.7978
2018-09,14.7398,32.8363
2018-10,15.0837,23.2702
2018-11,24.5288,25.0563
2018-12,13.313,13.5319
2019-01,15.3147,22.1943
2019-02,18.9994,25.7013
2019-03,25.6973,27.5721
2019-04,30.8288,32.1369
2019-05,30.2096,23.323
2019-06,33.7211,31.3236
2019-07,29.7959,32.644
2019-08,38.209,29.9311
2019-09,38.8568,31.9602
2019-10,38.2238,34.2575
2019-11,36.2778,38.4965
2019-12,37.4684,41.933
2020-01,42.177,41.1927
2020-02,31.5413,29.1327
2020-03,24.6862,15.0941
2020-04,36.9425,29.6087
2020-05,35.5756,35.3017
2020-06,36.7955,37.2398
2020-07,41.8069,44.6817
2020-08,43.6638,54.038
2020-09,42.569,47.5315
2020-10,36.5081,43.1102
2020-11,47.094,57.9789
2020-12,51.6269,63.0361
2021-01,39.109,60.507
2021-02,31.0146,64.0387
2021-03,44.0749,70.5941
2021-04,46.2465,78.6176
2021-05,49.4335,78.7807
2021-06,50.1134,81.7862
2021-07,58.3322,85.165
2021-08,57.0288,89.5209
2021-09,51.3704,79.652
2021-10,61.9032,91.2215
2021-11,59.3486,88.7203
2021-12,73.5769,96.1753
2022-01,72.5317,84.8382
2022-02,62.0891,78.356
2022-03,66.0648,84.1718
2022-04,69.5775,67.1269
2022-05,60.2009,69.9248
2022-06,56.2027,50.6444
2022-07,63.3118,63.8565
2022-08,60.1159,56.4409
2022-09,52.2065,41.6257
2022-10,68.5621,52.5015
2022-11,71.4813,60.3073
2022-12,67.304,50.5328
2023-01,57.7819,59.4277
2023-02,59.5062,54.8564
2023-03,68.0338,60.006
2023-04,75.2366,61.9344
2023-05,66.6917,62.0896
2023-06,69.8022,71.9711
2023-07,71.1687,76.904
2023-08,62.9823,73.3179
2023-09,54.6574,64.4308
2023-10,48.5898,60.2637
2023-11,53.8315,74.3036
2023-12,54.742,81.5558
2024-01,53.0353,83.6948
2024-02,50.7913,92.4418
2024-03,59.127,97.8859
2024-04,59.4252,89.1612
2024-05,56.1845,97.7957
2024-06,49.7035,103.9456
2024-07,56.279,105.3805
2024-08,55.9716,105.1825
2024-09,54.0909,108.7418
2024-10,50.0335,105.866
2024-11,47.2601,111.6911
2024-12,37.7977,104.7706
2025-01,36.2651,105.8612
2025-02,38.4808,102.4101
2025-03,35.0287,92.6645
2025-04,28.4624,73.1455
