Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-5,4,-9,1.11,-0.6,99.3,26.7
2017-2019,7,17,-10,1.12,-0.7,99.9,36.9
2018-2020,9,21,-11,1.19,-0.8,99.9,46.8
2019-2021,56,43,13,1.21,2.6,99.9,67.3
2020-2022,21,-2,23,1.11,24.5,75.2,61.1
2021-2023,38,1,37,0.97,43.2,75.2,93.8
2022-2024,60,19,40,1.07,47.6,66.0,129.2
2023-2025,45,62,-17,1.42,-28.1,56.5,124.0
