Date,rate_ETN_5D,rate_VOO_20D
2015-01,-7.1052,-3.5197
2015-02,3.3052,1.8044
2015-03,-0.2805,-0.4337
2015-04,1.6848,0.3137
2015-05,5.0842,1.1277
2015-06,-0.7896,-1.1499
2015-07,-7.6844,0.7758
2015-08,-12.8094,-5.4229
2015-09,-20.2423,-7.1738
2015-10,-11.4039,1.0672
2015-11,-6.1093,1.2476
2015-12,-15.627,-0.572
2016-01,-17.073,-4.925
2016-02,-5.6266,-4.8231
2016-03,5.3185,1.7982
2016-04,6.1285,1.9719
2016-05,4.1202,3.5419
2016-06,0.677,3.6524
2016-07,6.6244,7.2416
2016-08,12.4919,7.0197
2016-09,10.6681,6.6568
2016-10,6.9261,4.4599
2016-11,12.2515,8.0958
2016-12,12.6455,9.9999
2017-01,18.1821,11.4564
2017-02,19.4529,15.2492
2017-03,23.2651,14.8019
2017-04,24.9046,15.441
2017-05,27.8814,16.5118
2017-06,27.6749,16.6668
2017-07,27.4572,18.4843
2017-08,17.3212,18.2445
2017-09,24.9873,20.0845
2017-10,29.4562,22.2583
2017-11,25.9036,25.3046
2017-12,27.172,26.2059
2018-01,34.3787,32.449
2018-02,28.6323,26.7739
2018-03,24.4487,23.0189
2018-04,16.3394,22.8575
2018-05,19.3706,25.2441
2018-06,15.9748,25.5573
2018-07,28.5295,29.3514
2018-08,27.86,32.7978
2018-09,32.7426,32.8363
2018-10,9.5082,23.2702
2018-11,17.103,25.0563
2018-12,4.1606,13.5319
2019-01,15.5605,22.1943
2019-02,20.5553,25.7013
2019-03,22.3859,27.5721
2019-04,25.2558,32.1369
2019-05,13.3988,23.323
2019-06,26.2881,31.3236
2019-07,24.1663,32.644
2019-08,22.6129,29.9311
2019-09,25.9423,31.9602
2019-10,32.5535,34.2575
2019-11,40.1381,38.4965
2019-12,42.7881,41.933
2020-01,41.6049,41.1927
2020-02,35.245,29.1327
2020-03,25.3234,15.0941
2020-04,34.4293,29.6087
2020-05,36.1708,35.3017
2020-06,39.7486,37.2398
2020-07,48.0884,44.6817
2020-08,62.6791,54.038
2020-09,61.6738,47.5315
2020-10,63.4822,43.1102
2020-11,90.9264,57.9789
2020-12,88.1598,63.0361
2021-01,83.181,60.507
2021-02,101.3066,64.0387
2021-03,113.4921,70.5941
2021-04,119.0982,78.6176
2021-05,122.2578,78.7807
2021-06,125.1259,81.7862
2021-07,138.4201,85.165
2021-08,153.3067,89.5209
2021-09,123.1344,79.652
2021-10,144.4947,91.2215
2021-11,139.8383,88.7203
2021-12,153.9316,96.1753
2022-01,131.1813,84.8382
2022-02,123.6908,78.356
2022-03,119.8892,84.1718
2022-04,108.836,67.1269
2022-05,99.5729,69.9248
2022-06,83.7543,50.6444
2022-07,112.6431,63.8565
2022-08,95.7569,56.4409
2022-09,90.0759,41.6257
2022-10,103.1396,52.5015
2022-11,121.1834,60.3073
2022-12,111.229,50.5328
2023-01,117.0702,59.4277
2023-02,132.8021,54.8564
2023-03,127.8236,60.006
2023-04,120.9809,61.9344
2023-05,132.5063,62.0896
2023-06,164.3075,71.9711
2023-07,168.1904,76.904
2023-08,200.2195,73.3179
2023-09,176.1818,64.4308
2023-10,159.9931,60.2637
2023-11,183.5664,74.3036
2023-12,198.086,81.5558
2024-01,202.7289,83.6948
2024-02,253.2733,92.4418
2024-03,280.9376,97.8859
2024-04,274.9896,89.1612
2024-05,290.7812,97.7957
2024-06,265.8022,103.9456
2024-07,253.3156,105.3805
2024-08,240.0889,105.1825
2024-09,265.0831,108.7418
2024-10,271.0469,105.866
2024-11,296.3961,111.6911
2024-12,248.345,104.7706
2025-01,239.5529,105.8612
2025-02,223.8727,102.4101
2025-03,198.8412,92.6645
2025-04,190.9909,73.1455
