Date,rate_BLK_5D,rate_VOO_20D
2015-01,-5.9644,-3.5197
2015-02,2.8782,1.8044
2015-03,0.4246,-0.4337
2015-04,-0.5132,0.3137
2015-05,-0.3814,1.1277
2015-06,-5.0027,-1.1499
2015-07,-7.1053,0.7758
2015-08,-14.0217,-5.4229
2015-09,-14.057,-7.1738
2015-10,2.5952,1.0672
2015-11,5.6526,1.2476
2015-12,-0.4998,-0.572
2016-01,-7.9352,-4.925
2016-02,-8.064,-4.8231
2016-03,1.2467,1.7982
2016-04,5.5248,1.9719
2016-05,7.2876,3.5419
2016-06,1.2381,3.6524
2016-07,8.0653,7.2416
2016-08,10.2029,7.0197
2016-09,6.66,6.6568
2016-10,0.4161,4.4599
2016-11,8.8923,8.0958
2016-12,11.9583,9.9999
2017-01,9.5028,11.4564
2017-02,12.9433,15.2492
2017-03,11.896,14.8019
2017-04,11.7892,15.441
2017-05,18.5128,16.5118
2017-06,22.3742,16.6668
2017-07,22.7239,18.4843
2017-08,20.6442,18.2445
2017-09,27.9663,20.0845
2017-10,33.8603,22.2583
2017-11,41.3739,25.3046
2017-12,44.3612,26.2059
2018-01,56.4479,32.449
2018-02,46.977,26.7739
2018-03,44.5738,23.0189
2018-04,38.2197,22.8575
2018-05,40.6553,25.2441
2018-06,31.1628,25.5573
2018-07,31.3814,29.3514
2018-08,24.6611,32.7978
2018-09,22.9377,32.8363
2018-10,6.8882,23.2702
2018-11,11.0205,25.0563
2018-12,2.472,13.5319
2019-01,8.2326,22.1943
2019-02,15.344,25.7013
2019-03,11.7738,27.5721
2019-04,26.5863,32.1369
2019-05,8.0519,23.323
2019-06,22.6213,31.3236
2019-07,21.7785,32.644
2019-08,9.8869,29.9311
2019-09,16.6511,31.9602
2019-10,20.5746,34.2575
2019-11,28.8268,38.4965
2019-12,31.2252,41.933
2020-01,37.04,41.1927
2020-02,19.7835,29.1327
2020-03,2.7053,15.0941
2020-04,17.222,29.6087
2020-05,23.1694,35.3017
2020-06,27.1989,37.2398
2020-07,33.8932,44.6817
2020-08,37.7826,54.038
2020-09,30.8824,47.5315
2020-10,38.662,43.1102
2020-11,60.7618,57.9789
2020-12,66.0331,63.0361
2021-01,60.4609,60.507
2021-02,58.1293,64.0387
2021-03,71.7015,70.5941
2021-04,85.505,78.6176
2021-05,97.3052,78.7807
2021-06,96.5155,81.7862
2021-07,93.544,85.165
2021-08,109.2112,89.5209
2021-09,85.6914,79.652
2021-10,107.5827,91.2215
2021-11,97.8127,88.7203
2021-12,99.9252,96.1753
2022-01,78.6925,84.8382
2022-02,60.7681,78.356
2022-03,65.5875,84.1718
2022-04,34.8594,67.1269
2022-05,47.8275,69.9248
2022-06,27.3543,50.6444
2022-07,39.5687,63.8565
2022-08,38.5597,56.4409
2022-09,15.1942,41.6257
2022-10,34.8646,52.5015
2022-11,49.0783,60.3073
2022-12,48.0607,50.5328
2023-01,58.0471,59.4277
2023-02,43.0051,54.8564
2023-03,39.4139,60.006
2023-04,39.454,61.9344
2023-05,36.2391,62.0896
2023-06,43.8362,71.9711
2023-07,53.2613,76.904
2023-08,44.8952,73.3179
2023-09,34.2841,64.4308
2023-10,26.9054,60.2637
2023-11,55.3215,74.3036
2023-12,68.3659,81.5558
2024-01,60.0638,83.6948
2024-02,67.0554,92.4418
2024-03,72.0857,97.8859
2024-04,55.2433,89.1612
2024-05,58.3209,97.7957
2024-06,61.9762,103.9456
2024-07,79.6715,105.3805
2024-08,79.4315,105.1825
2024-09,89.3035,108.7418
2024-10,93.4038,105.866
2024-11,93.9098,111.6911
2024-12,92.9256,104.7706
2025-01,102.5486,105.8612
2025-02,83.4285,102.4101
2025-03,73.6424,92.6645
2025-04,49.5255,73.1455
