Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,46,31,15,0.43,1.4,2.8,84
2016-2018,20,21,0,0.43,-0.1,8.8,77
2017-2019,43,33,9,0.43,14.9,8.8,105
2018-2020,37,30,8,0.43,8.7,16.7,129
2019-2021,40,74,-34,0.43,-44.6,16.7,128
2020-2022,20,10,10,0.43,10.9,16.7,135
2021-2023,-2,25,-28,0.43,-39.5,11.3,135
2022-2024,9,41,-32,0.43,-45.2,11.3,149
