Date,rate_AMT_5D,rate_VOO_20D
2015-01,-3.1265,-3.5197
2015-02,-0.7759,1.8044
2015-03,-5.7334,-0.4337
2015-04,-4.371,0.3137
2015-05,-5.5317,1.1277
2015-06,-3.9898,-1.1499
2015-07,-1.9126,0.7758
2015-08,-5.555,-5.4229
2015-09,-8.7209,-7.1738
2015-10,6.8103,1.0672
2015-11,3.2541,1.2476
2015-12,1.0051,-0.572
2016-01,-1.7864,-4.925
2016-02,-3.8394,-4.8231
2016-03,6.8126,1.7982
2016-04,9.3978,1.9719
2016-05,9.759,3.5419
2016-06,17.7053,3.6524
2016-07,19.0127,7.2416
2016-08,15.7703,7.0197
2016-09,15.2255,6.6568
2016-10,18.473,4.4599
2016-11,2.7834,8.0958
2016-12,6.5878,9.9999
2017-01,4.1093,11.4564
2017-02,15.1833,15.2492
2017-03,21.3889,14.8019
2017-04,25.5215,15.441
2017-05,29.7892,16.5118
2017-06,30.5451,16.6668
2017-07,33.4108,18.4843
2017-08,43.6734,18.2445
2017-09,32.148,20.0845
2017-10,37.8649,22.2583
2017-11,37.1006,25.3046
2017-12,35.5737,26.2059
2018-01,39.398,32.449
2018-02,25.2573,26.7739
2018-03,29.9717,23.0189
2018-04,22.036,22.8575
2018-05,23.1911,25.2441
2018-06,28.4854,25.5573
2018-07,31.4224,29.3514
2018-08,31.4587,32.7978
2018-09,28.1741,32.8363
2018-10,36.7037,23.2702
2018-11,43.5282,25.0563
2018-12,38.0047,13.5319
2019-01,49.8129,22.1943
2019-02,51.7017,25.7013
2019-03,68.4973,27.5721
2019-04,66.4828,32.1369
2019-05,76.5838,23.323
2019-06,72.2922,31.3236
2019-07,76.927,32.644
2019-08,90.9534,29.9311
2019-09,82.6563,31.9602
2019-10,78.715,34.2575
2019-11,74.1398,38.4965
2019-12,86.5269,41.933
2020-01,86.6783,41.1927
2020-02,81.2627,29.1327
2020-03,72.3072,15.0941
2020-04,88.0922,29.6087
2020-05,102.5208,35.3017
2020-06,102.0715,37.2398
2020-07,102.7344,44.6817
2020-08,91.8874,54.038
2020-09,85.7979,47.5315
2020-10,75.3659,43.1102
2020-11,75.4231,57.9789
2020-12,70.3156,63.0361
2021-01,71.5737,60.507
2021-02,62.1456,64.0387
2021-03,78.4044,70.5941
2021-04,90.0057,78.6176
2021-05,89.3634,78.7807
2021-06,99.9654,81.7862
2021-07,107.9842,85.165
2021-08,113.4563,89.5209
2021-09,93.5248,79.652
2021-10,104.372,91.2215
2021-11,89.0871,88.7203
2021-12,110.5501,96.1753
2022-01,79.9542,84.8382
2022-02,61.5152,78.356
2022-03,78.052,84.1718
2022-04,70.8674,67.1269
2022-05,78.4487,69.9248
2022-06,67.8804,50.6444
2022-07,77.0817,63.8565
2022-08,65.3461,56.4409
2022-09,39.3379,41.6257
2022-10,35.2904,52.5015
2022-11,44.0688,60.3073
2022-12,38.532,50.5328
2023-01,45.6366,59.4277
2023-02,28.6825,54.8564
2023-03,32.483,60.006
2023-04,33.1869,61.9344
2023-05,19.997,62.0896
2023-06,26.9194,71.9711
2023-07,24.2834,76.904
2023-08,18.1853,73.3179
2023-09,7.0346,64.4308
2023-10,17.049,60.2637
2023-11,36.945,74.3036
2023-12,42.3576,81.5558
2024-01,28.7556,83.6948
2024-02,30.6444,92.4418
2024-03,29.5181,97.8859
2024-04,13.3283,89.1612
2024-05,29.1188,97.7957
2024-06,29.023,103.9456
2024-07,45.9309,105.3805
2024-08,47.9225,105.1825
2024-09,53.069,108.7418
2024-10,40.735,105.866
2024-11,42.1712,111.6911
2024-12,25.5734,104.7706
2025-01,26.4305,105.8612
2025-02,40.3094,102.4101
2025-03,46.2249,92.6645
2025-04,39.1264,73.1455
