Date,rate_SPOT_5D,rate_VOO_20D
2018-04,1.4567,1.6873
2018-05,-2.2118,4.074
2018-06,4.3102,4.3872
2018-07,10.6311,8.1813
2018-08,11.9553,11.6277
2018-09,5.7502,11.6662
2018-10,-12.9094,2.1001
2018-11,-18.818,3.8862
2018-12,-31.0144,-7.6382
2019-01,-14.8847,1.0242
2019-02,-10.8166,4.5312
2019-03,-10.768,6.402
2019-04,-12.5206,10.9668
2019-05,-18.3981,2.1529
2019-06,-4.007,10.1535
2019-07,1.7107,11.4739
2019-08,-11.4261,8.761
2019-09,-23.7255,10.7901
2019-10,-2.3063,13.0874
2019-11,-3.4916,17.3264
2019-12,1.1312,20.7629
2020-01,-4.7198,20.0226
2020-02,-7.6733,7.9626
2020-03,-13.5705,-6.076
2020-04,7.6774,8.4386
2020-05,28.3182,14.1316
2020-06,81.3407,16.0697
2020-07,78.2342,23.5116
2020-08,92.0062,32.8679
2020-09,62.4954,26.3614
2020-10,58.6644,21.9401
2020-11,90.0593,36.8088
2020-12,102.3872,41.8659
2021-01,99.4097,39.3369
2021-02,91.687,42.8686
2021-03,65.3234,49.424
2021-04,53.9299,57.4475
2021-05,46.4429,57.6106
2021-06,65.6801,60.6161
2021-07,36.2099,63.9949
2021-08,38.7535,68.3508
2021-09,32.5291,58.4818
2021-10,69.1191,70.0514
2021-11,38.1056,67.5502
2021-12,34.7918,75.0052
2022-01,12.3487,63.6681
2022-02,-10.3742,57.1859
2022-03,-13.0781,63.0017
2022-04,-41.295,45.9568
2022-05,-37.4628,48.7547
2022-06,-50.2128,29.4743
2022-07,-39.1637,42.6864
2022-08,-41.124,35.2708
2022-09,-52.0163,20.4555
2022-10,-56.2941,31.3314
2022-11,-57.2571,39.1372
2022-12,-56.5379,29.3627
2023-01,-36.7025,38.2576
2023-02,-34.1842,33.6863
2023-03,-23.9985,38.8359
2023-04,-23.7075,40.7643
2023-05,-14.6213,40.9195
2023-06,-7.7894,50.801
2023-07,-14.0697,55.7339
2023-08,-11.0669,52.1478
2023-09,-10.554,43.2607
2023-10,-10.0982,39.0936
2023-11,1.1052,53.1335
2023-12,2.6475,60.3857
2024-01,17.469,62.5247
2024-02,39.4981,71.2717
2024-03,42.9624,76.7158
2024-04,49.2406,67.9911
2024-05,51.1051,76.6256
2024-06,58.9028,82.7755
2024-07,73.2184,84.2104
2024-08,71.7719,84.0124
2024-09,83.6197,87.5717
2024-10,90.7438,84.6959
2024-11,134.7183,90.521
2024-12,118.3011,83.6005
2025-01,148.6756,84.6911
2025-02,172.4992,81.24
2025-03,148.4047,71.4944
2025-04,141.0925,51.9754
