Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,12,8,4,0.51,,62.5,6.7
2017-2019,-21,29,-51,0.47,-4.2,62.5,6.9
2018-2020,-21,25,-47,-0.06,-3.8,65.0,6.1
2019-2021,-2,54,-56,-0.12,-4.2,65.0,7.3
2020-2022,2,6,-4,-0.09,-0.7,73.5,7.6
2021-2023,43,17,27,1.87,4.2,73.5,13.0
2022-2024,306,17,289,2.54,65.8,73.5,47.1
2023-2025,293,28,264,1.23,95.0,71.9,53.0
