Date,rate_WM_5D,rate_VOO_20D
2015-01,-3.0254,-3.5197
2015-02,2.7424,1.8044
2015-03,2.0124,-0.4337
2015-04,-7.3444,0.3137
2015-05,-6.0816,1.1277
2015-06,-10.8873,-1.1499
2015-07,-0.4776,0.7758
2015-08,-3.4456,-5.4229
2015-09,-3.7309,-7.1738
2015-10,4.0647,1.0672
2015-11,3.5997,1.2476
2015-12,3.1761,-0.572
2016-01,2.2275,-4.925
2016-02,7.5888,-4.8231
2016-03,13.7908,1.7982
2016-04,12.5701,1.9719
2016-05,15.8317,3.5419
2016-06,25.7031,3.6524
2016-07,24.0984,7.2416
2016-08,19.0619,7.0197
2016-09,18.5012,6.6568
2016-10,21.1994,4.4599
2016-11,28.2211,8.0958
2016-12,29.6252,9.9999
2017-01,26.0085,11.4564
2017-02,31.8198,15.2492
2017-03,30.7409,14.8019
2017-04,29.3952,15.441
2017-05,28.6574,16.5118
2017-06,29.21,16.6668
2017-07,31.3926,18.4843
2017-08,33.7888,18.2445
2017-09,35.5295,20.0845
2017-10,41.2131,22.2583
2017-11,40.9513,25.3046
2017-12,46.6796,26.2059
2018-01,48.9705,32.449
2018-02,44.2829,26.7739
2018-03,40.3099,23.0189
2018-04,34.5815,22.8575
2018-05,36.0313,25.2441
2018-06,33.6623,25.5573
2018-07,46.9961,29.3514
2018-08,47.4021,32.7978
2018-09,46.247,32.8363
2018-10,43.8078,23.2702
2018-11,50.4983,25.0563
2018-12,41.89,13.5319
2019-01,51.5748,22.1943
2019-02,59.3338,25.7013
2019-03,63.18,27.5721
2019-04,67.3181,32.1369
2019-05,69.1944,23.323
2019-06,77.9395,31.3236
2019-07,79.0163,32.644
2019-08,81.119,29.9311
2019-09,73.9034,31.9602
2019-10,68.4565,34.2575
2019-11,68.3527,38.4965
2019-12,69.567,41.933
2020-01,79.8697,41.1927
2020-02,62.602,29.1327
2020-03,55.8547,15.0941
2020-04,68.4306,29.6087
2020-05,78.6773,35.3017
2020-06,76.9844,37.2398
2020-07,81.9653,44.6817
2020-08,88.0341,54.038
2020-09,86.304,47.5315
2020-10,76.4514,43.1102
2020-11,93.5102,57.9789
2020-12,91.1835,63.0361
2021-01,79.2991,60.507
2021-02,77.5204,64.0387
2021-03,106.2988,70.5941
2021-04,119.1205,78.6176
2021-05,121.8336,78.7807
2021-06,120.2964,81.7862
2021-07,131.4794,85.165
2021-08,140.4714,89.5209
2021-09,130.7506,79.652
2021-10,145.7964,91.2215
2021-11,144.7064,88.7203
2021-12,153.2752,96.1753
2022-01,126.7198,84.8382
2022-02,116.2739,78.356
2022-03,136.9056,84.1718
2022-04,144.1702,67.1269
2022-05,130.4531,69.9248
2022-06,119.1437,50.6444
2022-07,134.3057,63.8565
2022-08,139.1891,56.4409
2022-09,130.1407,41.6257
2022-10,124.5529,52.5015
2022-11,136.4352,60.3073
2022-12,120.6943,50.5328
2023-01,116.4805,59.4277
2023-02,108.3875,54.8564
2023-03,126.905,60.006
2023-04,129.6209,61.9344
2023-05,122.6492,62.0896
2023-06,138.1843,71.9711
2023-07,123.7156,76.904
2023-08,113.0461,73.3179
2023-09,107.0379,64.4308
2023-10,122.0654,60.2637
2023-11,130.8355,74.3036
2023-12,140.4757,81.5558
2024-01,147.892,83.6948
2024-02,173.116,92.4418
2024-03,182.4677,97.8859
2024-04,174.103,89.1612
2024-05,176.1105,97.7957
2024-06,179.0238,103.9456
2024-07,163.6015,105.3805
2024-08,174.3133,105.1825
2024-09,168.099,108.7418
2024-10,177.2752,105.866
2024-11,191.6051,111.6911
2024-12,157.3139,104.7706
2025-01,179.4246,105.8612
2025-02,193.741,102.4101
2025-03,185.2588,92.6645
2025-04,170.1072,73.1455
