Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,15,4,11,1.01,0.0,17.1,439.3
2017-2019,7,17,-10,1.02,-0.1,17.1,487.3
2018-2020,-11,21,-32,0.93,-0.2,17.1,498.8
2019-2021,25,43,-19,0.89,-0.1,11.6,643.3
2020-2022,13,-2,15,0.84,0.1,18.7,664.6
2021-2023,15,1,15,0.74,0.2,18.7,767.3
2022-2024,8,19,-11,0.7,-0.1,18.7,975.2
2023-2025,30,62,-32,0.56,-0.6,12.3,1081.4
