Date,rate_RTX_5D,rate_VOO_20D
2015-01,-5.0849,-3.5197
2015-02,1.6769,1.8044
2015-03,-1.6506,-0.4337
2015-04,-4.61,0.3137
2015-05,-0.8555,1.1277
2015-06,-5.2495,-1.1499
2015-07,-13.9468,0.7758
2015-08,-19.4325,-5.4229
2015-09,-19.9119,-7.1738
2015-10,-9.4347,1.0672
2015-11,-10.3801,1.2476
2015-12,-9.6223,-0.572
2016-01,-16.8545,-4.925
2016-02,-6.4963,-4.8231
2016-03,-2.6326,1.7982
2016-04,1.4312,1.9719
2016-05,-1.4213,3.5419
2016-06,0.5701,3.6524
2016-07,5.5046,7.2416
2016-08,4.6909,7.0197
2016-09,-0.1093,6.6568
2016-10,0.4278,4.4599
2016-11,6.4691,8.0958
2016-12,7.9687,9.9999
2017-01,7.7095,11.4564
2017-02,10.7647,15.2492
2017-03,9.9935,14.8019
2017-04,16.2289,15.441
2017-05,18.5428,16.5118
2017-06,18.7125,16.6668
2017-07,14.6722,18.4843
2017-08,15.9979,18.2445
2017-09,12.0457,20.0845
2017-10,15.1885,22.2583
2017-11,17.0374,25.3046
2017-12,22.4615,26.2059
2018-01,31.8108,32.449
2018-02,28.6593,26.7739
2018-03,19.547,23.0189
2018-04,13.7366,22.8575
2018-05,18.4329,25.2441
2018-06,18.1725,25.5573
2018-07,27.7949,29.3514
2018-08,24.0557,32.7978
2018-09,31.0604,32.8363
2018-10,15.8303,23.2702
2018-11,13.8884,25.0563
2018-12,-0.4452,13.5319
2019-01,10.3532,22.1943
2019-02,17.9043,25.7013
2019-03,20.5204,27.5721
2019-04,32.7605,32.1369
2019-05,17.6905,23.323
2019-06,20.9027,31.3236
2019-07,23.6493,32.644
2019-08,20.8866,29.9311
2019-09,26.3425,31.9602
2019-10,32.3962,34.2575
2019-11,36.8574,38.4965
2019-12,37.5367,41.933
2020-01,37.289,41.1927
2020-02,19.3678,29.1327
2020-03,-13.6469,15.0941
2020-04,-5.4426,29.6087
2020-05,-4.8672,35.3017
2020-06,-9.0712,37.2398
2020-07,-16.2602,44.6817
2020-08,-9.0764,54.038
2020-09,-14.1257,47.5315
2020-10,-18.7989,43.1102
2020-11,8.1793,57.9789
2020-12,7.7536,63.0361
2021-01,0.5449,60.507
2021-02,8.9563,64.0387
2021-03,16.7672,70.5941
2021-04,25.4882,78.6176
2021-05,34.163,78.7807
2021-06,28.5988,81.7862
2021-07,30.6913,85.165
2021-08,27.7916,89.5209
2021-09,29.2618,79.652
2021-10,33.2301,91.2215
2021-11,21.7779,88.7203
2021-12,29.0652,96.1753
2022-01,34.8839,84.8382
2022-02,53.9445,78.356
2022-03,47.9085,84.1718
2022-04,41.1379,67.1269
2022-05,41.8426,69.9248
2022-06,37.2584,50.6444
2022-07,32.713,63.8565
2022-08,28.1861,56.4409
2022-09,16.7406,41.6257
2022-10,34.9544,52.5015
2022-11,40.9319,60.3073
2022-12,43.6265,50.5328
2023-01,41.6442,59.4277
2023-02,39.5077,54.8564
2023-03,38.885,60.006
2023-04,41.2521,61.9344
2023-05,30.7782,62.0896
2023-06,38.6239,71.9711
2023-07,24.0931,76.904
2023-08,22.0546,73.3179
2023-09,1.9207,64.4308
2023-10,15.2152,60.2637
2023-11,16.037,74.3036
2023-12,19.6493,81.5558
2024-01,29.3616,83.6948
2024-02,27.8651,92.4418
2024-03,38.7604,97.8859
2024-04,44.0707,89.1612
2024-05,53.4586,97.7957
2024-06,42.4642,103.9456
2024-07,66.2774,105.3805
2024-08,74.8947,105.1825
2024-09,71.1956,108.7418
2024-10,71.307,105.866
2024-11,70.2929,111.6911
2024-12,61.22,104.7706
2025-01,79.0765,105.8612
2025-02,77.5358,102.4101
2025-03,76.2001,92.6645
2025-04,65.2386,73.1455
