Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,38,12,26,1.04,0.1,23.2,162.9
2017-2019,27,25,2,1.05,0.0,23.2,156.5
2018-2020,-18,24,-42,0.81,-0.1,33.0,189.4
2019-2021,79,65,13,0.72,0.0,33.0,239.3
2020-2022,104,7,97,0.59,1.0,33.0,285.6
2021-2023,57,21,36,0.36,0.8,19.7,273.9
2022-2024,34,30,4,0.3,0.1,19.7,314.1
2023-2025,84,75,8,0.32,0.2,20.4,403.8
