Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,38,0,38,1.0,6.5,65.7,66.8
2016-2018,38,0,38,1.0,11.5,66.5,74.1
2017-2019,79,0,79,1.0,37.8,66.5,107.6
2018-2020,32,0,32,1.0,58.0,66.5,105.1
2019-2021,58,1,58,0.01,126.5,64.0,137.0
2020-2022,-13,-11,-3,-0.03,-5.4,70.7,99.2
2021-2023,-7,10,-17,-0.02,-24.5,70.7,101.1
2022-2024,-21,30,-50,-0.02,-73.1,70.7,85.9
2023-2025,-21,45,-66,-0.01,-91.9,68.1,99.2
