Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,-33,28,-61,-0.05,-5.3,9.4,0.0
2016-2018,-9,18,-28,0.07,-2.4,21.6,0.0
2017-2019,-25,30,-55,-0.09,-21.2,21.6,0.0
2018-2020,269,27,242,-0.05,65.9,28.8,0.2
2019-2021,249,71,178,-0.04,65.3,38.5,0.2
2020-2022,81,9,73,-0.02,26.5,40.8,0.1
2021-2023,68,23,45,0.92,32.6,40.8,0.2
2022-2024,1376,33,1343,0.96,728.1,40.8,1.2
2023-2025,1971,63,1909,1.7,1058.4,34.3,1.6
