Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,1,29,-28,-0.02,-2.2,66.4,45.2
2016-2018,3,18,-15,0.1,-2.3,58.3,46.4
2017-2019,-4,29,-34,1.42,-6.3,58.3,43.2
2018-2020,-40,25,-65,0.42,-14.6,59.0,26.5
2019-2021,-6,54,-60,-0.31,-21.0,59.0,51.9
2020-2022,-3,6,-9,-0.45,-3.2,72.7,40.5
2021-2023,54,17,37,-1.58,9.5,72.7,52.4
2022-2024,32,17,15,-1.02,4.6,72.7,66.5
2023-2025,24,13,11,2.04,3.0,82.0,57.7
