Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,28,12,16,0.78,0.0,22.1,23.8
2017-2019,79,25,53,0.77,0.1,14.2,34.3
2018-2020,78,24,54,0.57,0.6,18.1,46.3
2019-2021,79,65,13,0.52,0.3,18.1,51.9
2020-2022,43,7,37,0.56,0.8,27.1,54.2
2021-2023,-80,21,-101,0.58,-0.2,56.7,29.9
2022-2024,-127,30,-156,0.52,-0.2,64.0,16.7
2023-2025,-80,75,-156,0.09,-0.0,62.4,29.2
