Date,rate_MSTR_5D,rate_VOO_20D
2015-01,-1.6927,-3.5197
2015-02,8.1243,1.8044
2015-03,1.1613,-0.4337
2015-04,8.3843,0.3137
2015-05,3.2497,1.1277
2015-06,-1.0655,-1.1499
2015-07,18.1572,0.7758
2015-08,13.1736,-5.4229
2015-09,10.1135,-7.1738
2015-10,-4.7203,1.0672
2015-11,-3.7791,1.2476
2015-12,-0.4033,-0.572
2016-01,-3.8493,-4.925
2016-02,-10.1411,-4.8231
2016-03,0.5776,1.7982
2016-04,0.1951,1.9719
2016-05,3.9462,3.5419
2016-06,-2.6882,3.6524
2016-07,-2.8029,7.2416
2016-08,-6.9811,7.0197
2016-09,-6.3371,6.6568
2016-10,9.1541,4.4599
2016-11,8.3119,8.0958
2016-12,9.6264,9.9999
2017-01,11.2718,11.4564
2017-02,5.8039,15.2492
2017-03,3.2993,14.8019
2017-04,4.477,15.441
2017-05,0.0083,16.5118
2017-06,4.9895,16.6668
2017-07,-26.3741,18.4843
2017-08,-28.4452,18.2445
2017-09,-28.3353,20.0845
2017-10,-24.9905,22.2583
2017-11,-21.835,25.3046
2017-12,-24.3679,26.2059
2018-01,-20.0824,32.449
2018-02,-25.2751,26.7739
2018-03,-24.2136,23.0189
2018-04,-24.5353,22.8575
2018-05,-22.7703,25.2441
2018-06,-23.3589,25.5573
2018-07,-21.4982,29.3514
2018-08,-9.7265,32.7978
2018-09,-14.5958,32.8363
2018-10,-23.0016,23.2702
2018-11,-20.2702,25.0563
2018-12,-21.056,13.5319
2019-01,-21.1918,22.1943
2019-02,-11.8994,25.7013
2019-03,-10.0429,27.5721
2019-04,-6.5409,32.1369
2019-05,-16.7052,23.323
2019-06,-9.9226,31.3236
2019-07,-13.8581,32.644
2019-08,-9.4633,29.9311
2019-09,-6.098,31.9602
2019-10,-2.8859,34.2575
2019-11,-4.7017,38.4965
2019-12,-9.4251,41.933
2020-01,-3.3369,41.1927
2020-02,-13.9975,29.1327
2020-03,-25.4032,15.0941
2020-04,-19.692,29.6087
2020-05,-20.5362,35.3017
2020-06,-24.1815,37.2398
2020-07,-20.2271,44.6817
2020-08,-6.6834,54.038
2020-09,-2.8966,47.5315
2020-10,7.6607,43.1102
2020-11,120.347,57.9789
2020-12,148.0004,63.0361
2021-01,290.349,60.507
2021-02,369.5239,64.0387
2021-03,320.4519,70.5941
2021-04,302.8603,78.6176
2021-05,185.7217,78.7807
2021-06,300.5584,81.7862
2021-07,273.8376,85.165
2021-08,310.838,89.5209
2021-09,239.3023,79.652
2021-10,315.7401,91.2215
2021-11,315.5216,88.7203
2021-12,210.9737,96.1753
2022-01,108.5079,84.8382
2022-02,149.4043,78.356
2022-03,171.8641,84.1718
2022-04,96.5812,67.1269
2022-05,105.0357,69.9248
2022-06,13.1761,50.6444
2022-07,96.7611,63.8565
2022-08,58.4608,56.4409
2022-09,32.6291,41.6257
2022-10,66.6261,52.5015
2022-11,27.2362,60.3073
2022-12,-9.2737,50.5328
2023-01,61.2662,59.4277
2023-02,67.3051,54.8564
2023-03,85.6949,60.006
2023-04,107.6214,61.9344
2023-05,89.8164,62.0896
2023-06,114.4962,71.9711
2023-07,172.7626,76.904
2023-08,121.5039,73.3179
2023-09,102.3416,64.4308
2023-10,159.7142,60.2637
2023-11,203.9051,74.3036
2023-12,282.6689,81.5558
2024-01,201.5622,83.6948
2024-02,511.6818,92.4418
2024-03,911.6521,97.8859
2024-04,527.3936,89.1612
2024-05,791.0651,97.7957
2024-06,698.8753,103.9456
2024-07,829.0795,105.3805
2024-08,612.7167,105.1825
2024-09,800.8172,108.7418
2024-10,1196.5746,105.866
2024-11,1713.7568,111.6911
2024-12,1434.5259,104.7706
2025-01,1392.7535,105.8612
2025-02,1243.0905,102.4101
2025-03,1140.0105,92.6645
2025-04,1040.3367,73.1455
