Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,25,9,17,1.25,,20.6,85.9
2017-2019,36,25,11,1.35,0.1,20.6,116.6
2018-2020,35,24,11,1.15,0.1,28.7,149.2
2019-2021,73,64,9,1.16,0.1,28.7,171.3
2020-2022,21,5,16,1.11,0.2,28.7,150.2
2021-2023,-25,18,-43,1.18,-0.7,21.7,155.0
2022-2024,-11,29,-40,1.15,-0.7,21.7,170.5
2023-2025,-16,75,-91,1.32,-1.5,31.9,157.7
