Date,rate_RIVN_5D,rate_VOO_20D
2021-11,0.0,-3.2361
2021-12,0.0,4.2188
2022-01,-35.253,-7.1182
2022-02,-25.9073,-13.6004
2022-03,-40.4318,-7.7846
2022-04,-59.8712,-24.8295
2022-05,-52.0619,-22.0316
2022-06,-55.6588,-41.312
2022-07,-35.3427,-28.0999
2022-08,-35.4467,-35.5155
2022-09,-32.4792,-50.3308
2022-10,-34.0221,-39.4549
2022-11,-44.6596,-31.6491
2022-12,-66.3666,-41.4236
2023-01,-59.9466,-32.5287
2023-02,-56.764,-37.1
2023-03,-60.9382,-31.9504
2023-04,-64.9374,-30.022
2023-05,-55.9494,-29.8668
2023-06,-47.1393,-19.9853
2023-07,-9.9068,-15.0524
2023-08,-24.8319,-18.6385
2023-09,-18.736,-27.5256
2023-10,-43.6981,-31.6927
2023-11,-43.4623,-17.6528
2023-12,-19.0022,-10.4006
2024-01,-45.4514,-8.2616
2024-02,-58.4806,0.4854
2024-03,-58.3347,5.9295
2024-04,-64.6502,-2.7952
2024-05,-54.2976,5.8393
2024-06,-41.9907,11.9892
2024-07,-27.7099,13.4241
2024-08,-36.7533,13.2261
2024-09,-48.8122,16.7854
2024-10,-52.5135,13.9096
2024-11,-40.8721,19.7347
2024-12,-33.1276,12.8142
2025-01,-38.9494,13.9048
2025-02,-45.087,10.4537
2025-03,-39.6364,0.7081
2025-04,-44.9414,-18.8109
