Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-11,12,-23,0.92,-0.0,24.9,101.6
2017-2019,-19,25,-44,0.97,-0.0,24.9,119.8
2018-2020,-11,24,-35,0.99,-0.0,37.7,112.5
2019-2021,19,65,-46,0.95,-0.0,37.7,124.9
2020-2022,17,7,11,0.82,0.0,37.7,131.7
2021-2023,53,21,33,0.54,0.1,14.6,152.9
2022-2024,81,30,51,0.59,0.2,15.8,205.5
2023-2025,137,75,61,0.7,0.9,19.2,276.9
