Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,44,28,15,0.08,2.5,64.0,75.9
2016-2018,4,15,-11,-0.05,-2.6,73.6,61.9
2017-2019,22,22,0,-0.8,0.1,79.0,92.0
2018-2020,-26,24,-50,-0.66,-25.8,79.0,83.9
2019-2021,7,47,-40,0.84,-38.5,79.0,84.0
2020-2022,-20,-1,-19,0.56,-8.4,79.3,115.0
2021-2023,15,1,14,0.6,6.2,79.3,107.1
2022-2024,2,21,-19,0.51,-8.6,79.3,114.8
2023-2025,5,68,-63,0.26,-62.3,79.8,114.1
