Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,19,4,15,1.17,,22.8,51.9
2017-2019,54,17,37,1.06,0.5,22.8,83.4
2018-2020,20,21,-1,1.1,-0.0,22.8,100.4
2019-2021,58,43,15,1.09,0.3,22.8,144.1
2020-2022,-40,-2,-39,1.05,-0.5,33.4,102.3
2021-2023,9,1,8,1.01,0.1,33.4,134.5
2022-2024,-7,19,-26,0.96,-0.4,25.3,152.1
2023-2025,25,62,-37,0.86,-0.8,17.4,159.6
