Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,102,31,71,0.07,4.9,9.1,65
2016-2018,67,21,46,0.07,7.4,19.1,53
2017-2019,39,33,5,0.07,6.4,19.1,64
2018-2020,-2,30,-32,0.07,-41.1,19.1,81
2019-2021,59,74,-15,0.07,-21.9,13.2,94
2020-2022,91,10,81,0.07,106.1,16.8,111
2021-2023,82,25,57,0.07,71.8,16.8,140
2022-2024,153,41,112,0.07,149.1,16.8,192
