Date,rate_457480.KS_5D,rate_VOO_20D
2023-05,0.0,2.9008
2023-06,2.5905,12.7823
2023-07,-0.5751,17.3747
2023-08,-0.7213,14.1291
2023-09,-9.5375,4.6799
2023-10,-17.9867,1.0749
2023-11,-8.4893,15.1148
2023-12,0.7435,22.8527
2024-01,-19.5881,24.506
2024-02,-8.4294,33.253
2024-03,-13.11,38.6971
2024-04,-4.7435,29.9724
2024-05,-10.4119,38.607
2024-06,-5.389,44.7569
2024-07,0.8352,46.1918
2024-08,-7.7749,45.9937
2024-09,8.7042,49.5531
2024-10,8.6789,46.6773
2024-11,34.9303,52.5023
2024-12,66.001,45.8332
2025-01,57.4063,46.6724
2025-02,43.1498,43.2214
2025-03,33.2321,33.4757
2025-04,12.6106,13.9568
