Year,CAGR,CAGR_VOO,MDD,Alpha,Beta,Cap(B)
2015-2017,-81.25,38.4,8.96,-119.65,0.37,0.0
2016-2018,-54.07,32.3,49.73,-86.37,0.24,0.0
2017-2019,-67.32,51.71,58.42,-119.03,0.19,0.0
2018-2020,22.32,47.36,60.82,-25.04,0.06,0.0
2019-2021,76.24,100.04,57.45,-23.8,0.11,0.0
2020-2022,156.29,23.6,61.7,132.69,0.04,0.0
2021-2023,-20.65,34.96,68.56,-55.61,0.09,0.0
2022-2024,-23.31,28.96,50.36,-52.26,0.12,0.0
