Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,57,10,47,0.98,,71.1,0.6
2021-2023,-119,16,-136,2.12,-0.0,70.5,1.2
2022-2024,135,26,109,1.85,0.0,38.5,1.1
2023-2025,18,49,-31,1.7,-0.3,34.2,0.9
